Month,District,2YearFixedRate,CPI,CPI_YoY,RealMortgageRate
2018-08,AucklandCity,5.0,1024.33,1.897,3.103
2018-08,Franklin,5.0,1024.33,1.897,3.103
2018-08,Manukau,5.0,1024.33,1.897,3.103
2018-08,NorthShore,5.0,1024.33,1.897,3.103
2018-08,Papakura,5.0,1024.33,1.897,3.103
2018-08,Rodney,5.0,1024.33,1.897,3.103
2018-08,Waitakere,5.0,1024.33,1.897,3.103
2018-09,AucklandCity,4.93,1024.67,1.8933,3.0367
2018-09,Franklin,4.93,1024.67,1.8933,3.0367
2018-09,Manukau,4.93,1024.67,1.8933,3.0367
2018-09,NorthShore,4.93,1024.67,1.8933,3.0367
2018-09,Papakura,4.93,1024.67,1.8933,3.0367
2018-09,Rodney,4.93,1024.67,1.8933,3.0367
2018-09,Waitakere,4.93,1024.67,1.8933,3.0367
2018-10,AucklandCity,4.92,1025.0,1.8887,3.0313
2018-10,Franklin,4.92,1025.0,1.8887,3.0313
2018-10,Manukau,4.92,1025.0,1.8887,3.0313
2018-10,NorthShore,4.92,1025.0,1.8887,3.0313
2018-10,Papakura,4.92,1025.0,1.8887,3.0313
2018-10,Rodney,4.92,1025.0,1.8887,3.0313
2018-10,Waitakere,4.92,1025.0,1.8887,3.0313
2018-12,AucklandCity,4.93,1025.67,1.6189,3.3111
2018-12,Franklin,4.93,1025.67,1.6189,3.3111
2018-12,Manukau,4.93,1025.67,1.6189,3.3111
2018-12,NorthShore,4.93,1025.67,1.6189,3.3111
2018-12,Papakura,4.93,1025.67,1.6189,3.3111
2018-12,Rodney,4.93,1025.67,1.6189,3.3111
2018-12,Waitakere,4.93,1025.67,1.6189,3.3111
2019-01,AucklandCity,4.93,1026.0,1.4837,3.4463
2019-01,Franklin,4.93,1026.0,1.4837,3.4463
2019-01,Manukau,4.93,1026.0,1.4837,3.4463
2019-01,NorthShore,4.93,1026.0,1.4837,3.4463
2019-01,Papakura,4.93,1026.0,1.4837,3.4463
2019-01,Rodney,4.93,1026.0,1.4837,3.4463
2019-01,Waitakere,4.93,1026.0,1.4837,3.4463
2019-02,AucklandCity,4.92,1028.0,1.5479,3.3721
2019-02,Franklin,4.92,1028.0,1.5479,3.3721
2019-02,Manukau,4.92,1028.0,1.5479,3.3721
2019-02,NorthShore,4.92,1028.0,1.5479,3.3721
2019-02,Papakura,4.92,1028.0,1.5479,3.3721
2019-02,Rodney,4.92,1028.0,1.5479,3.3721
2019-02,Waitakere,4.92,1028.0,1.5479,3.3721
2019-03,AucklandCity,4.81,1030.0,1.611,3.199
2019-03,Franklin,4.81,1030.0,1.611,3.199
2019-03,Manukau,4.81,1030.0,1.611,3.199
2019-03,NorthShore,4.81,1030.0,1.611,3.199
2019-03,Papakura,4.81,1030.0,1.611,3.199
2019-03,Rodney,4.81,1030.0,1.611,3.199
2019-03,Waitakere,4.81,1030.0,1.611,3.199
2019-04,AucklandCity,4.78,1032.0,1.6749,3.1051
2019-04,Franklin,4.78,1032.0,1.6749,3.1051
2019-04,Manukau,4.78,1032.0,1.6749,3.1051
2019-04,NorthShore,4.78,1032.0,1.6749,3.1051
2019-04,Papakura,4.78,1032.0,1.6749,3.1051
2019-04,Rodney,4.78,1032.0,1.6749,3.1051
2019-04,Waitakere,4.78,1032.0,1.6749,3.1051
2019-05,AucklandCity,4.73,1034.33,1.6041,3.1259
2019-05,Franklin,4.73,1034.33,1.6041,3.1259
2019-05,Manukau,4.73,1034.33,1.6041,3.1259
2019-05,NorthShore,4.73,1034.33,1.6041,3.1259
2019-05,Papakura,4.73,1034.33,1.6041,3.1259
2019-05,Rodney,4.73,1034.33,1.6041,3.1259
2019-05,Waitakere,4.73,1034.33,1.6041,3.1259
2019-06,AucklandCity,4.69,1036.67,1.5348,3.1552
2019-06,Franklin,4.69,1036.67,1.5348,3.1552
2019-06,Manukau,4.69,1036.67,1.5348,3.1552
2019-06,NorthShore,4.69,1036.67,1.5348,3.1552
2019-06,Papakura,4.69,1036.67,1.5348,3.1552
2019-06,Rodney,4.69,1036.67,1.5348,3.1552
2019-06,Waitakere,4.69,1036.67,1.5348,3.1552
2019-07,AucklandCity,4.67,1039.0,1.4648,3.2052
2019-07,Franklin,4.67,1039.0,1.4648,3.2052
2019-07,Manukau,4.67,1039.0,1.4648,3.2052
2019-07,NorthShore,4.67,1039.0,1.4648,3.2052
2019-07,Papakura,4.67,1039.0,1.4648,3.2052
2019-07,Rodney,4.67,1039.0,1.4648,3.2052
2019-07,Waitakere,4.67,1039.0,1.4648,3.2052
2019-08,AucklandCity,4.59,1040.67,1.5952,2.9948
2019-08,Franklin,4.59,1040.67,1.5952,2.9948
2019-08,Manukau,4.59,1040.67,1.5952,2.9948
2019-08,NorthShore,4.59,1040.67,1.5952,2.9948
2019-08,Papakura,4.59,1040.67,1.5952,2.9948
2019-08,Rodney,4.59,1040.67,1.5952,2.9948
2019-08,Waitakere,4.59,1040.67,1.5952,2.9948
2019-09,AucklandCity,4.48,1042.33,1.7235,2.7565
2019-09,Franklin,4.48,1042.33,1.7235,2.7565
2019-09,Manukau,4.48,1042.33,1.7235,2.7565
2019-09,NorthShore,4.48,1042.33,1.7235,2.7565
2019-09,Papakura,4.48,1042.33,1.7235,2.7565
2019-09,Rodney,4.48,1042.33,1.7235,2.7565
2019-09,Waitakere,4.48,1042.33,1.7235,2.7565
2019-10,AucklandCity,4.41,1044.0,1.8537,2.5563
2019-10,Franklin,4.41,1044.0,1.8537,2.5563
2019-10,Manukau,4.41,1044.0,1.8537,2.5563
2019-10,NorthShore,4.41,1044.0,1.8537,2.5563
2019-10,Papakura,4.41,1044.0,1.8537,2.5563
2019-10,Rodney,4.41,1044.0,1.8537,2.5563
2019-10,Waitakere,4.41,1044.0,1.8537,2.5563
2019-11,AucklandCity,4.42,1046.67,2.0813,2.3387
2019-11,Franklin,4.42,1046.67,2.0813,2.3387
2019-11,Manukau,4.42,1046.67,2.0813,2.3387
2019-11,NorthShore,4.42,1046.67,2.0813,2.3387
2019-11,Papakura,4.42,1046.67,2.0813,2.3387
2019-11,Rodney,4.42,1046.67,2.0813,2.3387
2019-11,Waitakere,4.42,1046.67,2.0813,2.3387
2019-12,AucklandCity,4.44,1049.33,2.3068,2.1332
2019-12,Franklin,4.44,1049.33,2.3068,2.1332
2019-12,Manukau,4.44,1049.33,2.3068,2.1332
2019-12,NorthShore,4.44,1049.33,2.3068,2.1332
2019-12,Papakura,4.44,1049.33,2.3068,2.1332
2019-12,Rodney,4.44,1049.33,2.3068,2.1332
2019-12,Waitakere,4.44,1049.33,2.3068,2.1332
2020-01,AucklandCity,4.44,1052.0,2.5341,1.9059
2020-01,Franklin,4.44,1052.0,2.5341,1.9059
2020-01,Manukau,4.44,1052.0,2.5341,1.9059
2020-01,NorthShore,4.44,1052.0,2.5341,1.9059
2020-01,Papakura,4.44,1052.0,2.5341,1.9059
