Month,Scenario,Net_migration_monthly
2025-07-01,Base,174.22183421516755
2025-08-01,Base,174.22183421516755
2025-09-01,Base,174.22183421516755
2025-10-01,Base,174.22183421516755
2025-11-01,Base,174.22183421516755
2025-12-01,Base,174.22183421516755
2026-01-01,Base,174.22183421516755
2026-02-01,Base,174.22183421516755
2026-03-01,Base,174.22183421516755
2026-04-01,Base,174.22183421516755
2026-05-01,Base,174.22183421516755
2026-06-01,Base,174.22183421516755
2025-07-01,High,191.6440176366843
2025-08-01,High,191.6440176366843
2025-09-01,High,191.6440176366843
2025-10-01,High,191.6440176366843
2025-11-01,High,191.6440176366843
2025-12-01,High,191.6440176366843
2026-01-01,High,191.6440176366843
2026-02-01,High,191.6440176366843
2026-03-01,High,191.6440176366843
2026-04-01,High,191.6440176366843
2026-05-01,High,191.6440176366843
2026-06-01,High,191.6440176366843
2025-07-01,Low,156.79965079365078
2025-08-01,Low,156.79965079365078
2025-09-01,Low,156.79965079365078
2025-10-01,Low,156.79965079365078
2025-11-01,Low,156.79965079365078
2025-12-01,Low,156.79965079365078
2026-01-01,Low,156.79965079365078
2026-02-01,Low,156.79965079365078
2026-03-01,Low,156.79965079365078
2026-04-01,Low,156.79965079365078
2026-05-01,Low,156.79965079365078
2026-06-01,Low,156.79965079365078
