Month,Scenario,District,Net_migration_monthly
2025-07-01,Base,AucklandCity,174.22183421516755
2025-07-01,Base,Franklin,174.22183421516755
2025-07-01,Base,Manukau,174.22183421516755
2025-07-01,Base,NorthShore,174.22183421516755
2025-07-01,Base,Papakura,174.22183421516755
2025-07-01,Base,Rodney,174.22183421516755
2025-07-01,Base,Waitakere,174.22183421516755
2025-08-01,Base,AucklandCity,174.22183421516755
2025-08-01,Base,Franklin,174.22183421516755
2025-08-01,Base,Manukau,174.22183421516755
2025-08-01,Base,NorthShore,174.22183421516755
2025-08-01,Base,Papakura,174.22183421516755
2025-08-01,Base,Rodney,174.22183421516755
2025-08-01,Base,Waitakere,174.22183421516755
2025-09-01,Base,AucklandCity,174.22183421516755
2025-09-01,Base,Franklin,174.22183421516755
2025-09-01,Base,Manukau,174.22183421516755
2025-09-01,Base,NorthShore,174.22183421516755
2025-09-01,Base,Papakura,174.22183421516755
2025-09-01,Base,Rodney,174.22183421516755
2025-09-01,Base,Waitakere,174.22183421516755
2025-10-01,Base,AucklandCity,174.22183421516755
2025-10-01,Base,Franklin,174.22183421516755
2025-10-01,Base,Manukau,174.22183421516755
2025-10-01,Base,NorthShore,174.22183421516755
2025-10-01,Base,Papakura,174.22183421516755
2025-10-01,Base,Rodney,174.22183421516755
2025-10-01,Base,Waitakere,174.22183421516755
2025-11-01,Base,AucklandCity,174.22183421516755
2025-11-01,Base,Franklin,174.22183421516755
2025-11-01,Base,Manukau,174.22183421516755
2025-11-01,Base,NorthShore,174.22183421516755
2025-11-01,Base,Papakura,174.22183421516755
2025-11-01,Base,Rodney,174.22183421516755
2025-11-01,Base,Waitakere,174.22183421516755
2025-12-01,Base,AucklandCity,174.22183421516755
2025-12-01,Base,Franklin,174.22183421516755
2025-12-01,Base,Manukau,174.22183421516755
2025-12-01,Base,NorthShore,174.22183421516755
2025-12-01,Base,Papakura,174.22183421516755
2025-12-01,Base,Rodney,174.22183421516755
2025-12-01,Base,Waitakere,174.22183421516755
2026-01-01,Base,AucklandCity,174.22183421516755
2026-01-01,Base,Franklin,174.22183421516755
2026-01-01,Base,Manukau,174.22183421516755
2026-01-01,Base,NorthShore,174.22183421516755
2026-01-01,Base,Papakura,174.22183421516755
2026-01-01,Base,Rodney,174.22183421516755
2026-01-01,Base,Waitakere,174.22183421516755
2026-02-01,Base,AucklandCity,174.22183421516755
2026-02-01,Base,Franklin,174.22183421516755
2026-02-01,Base,Manukau,174.22183421516755
2026-02-01,Base,NorthShore,174.22183421516755
2026-02-01,Base,Papakura,174.22183421516755
