Month,Scenario,weeklyrent
2025-07-01,Base,580.6789587852495
2025-08-01,Base,580.6789587852495
2025-09-01,Base,580.6789587852495
2025-10-01,Base,580.6789587852495
2025-11-01,Base,580.6789587852495
2025-12-01,Base,580.6789587852495
2026-01-01,Base,580.6789587852495
2026-02-01,Base,580.6789587852495
2026-03-01,Base,580.6789587852495
2026-04-01,Base,580.6789587852495
2026-05-01,Base,580.6789587852495
2026-06-01,Base,580.6789587852495
2025-07-01,High,638.7468546637745
2025-08-01,High,638.7468546637745
2025-09-01,High,638.7468546637745
2025-10-01,High,638.7468546637745
2025-11-01,High,638.7468546637745
2025-12-01,High,638.7468546637745
2026-01-01,High,638.7468546637745
2026-02-01,High,638.7468546637745
2026-03-01,High,638.7468546637745
2026-04-01,High,638.7468546637745
2026-05-01,High,638.7468546637745
2026-06-01,High,638.7468546637745
2025-07-01,Low,522.6110629067246
2025-08-01,Low,522.6110629067246
2025-09-01,Low,522.6110629067246
2025-10-01,Low,522.6110629067246
2025-11-01,Low,522.6110629067246
2025-12-01,Low,522.6110629067246
2026-01-01,Low,522.6110629067246
2026-02-01,Low,522.6110629067246
2026-03-01,Low,522.6110629067246
2026-04-01,Low,522.6110629067246
2026-05-01,Low,522.6110629067246
2026-06-01,Low,522.6110629067246
