Month,Scenario,District,weeklyrent
2025-07-01,Base,AucklandCity,580.6789587852495
2025-07-01,Base,Franklin,580.6789587852495
2025-07-01,Base,Manukau,580.6789587852495
2025-07-01,Base,NorthShore,580.6789587852495
2025-07-01,Base,Papakura,580.6789587852495
2025-07-01,Base,Rodney,580.6789587852495
2025-07-01,Base,Waitakere,580.6789587852495
2025-08-01,Base,AucklandCity,580.6789587852495
2025-08-01,Base,Franklin,580.6789587852495
2025-08-01,Base,Manukau,580.6789587852495
2025-08-01,Base,NorthShore,580.6789587852495
2025-08-01,Base,Papakura,580.6789587852495
2025-08-01,Base,Rodney,580.6789587852495
2025-08-01,Base,Waitakere,580.6789587852495
2025-09-01,Base,AucklandCity,580.6789587852495
2025-09-01,Base,Franklin,580.6789587852495
2025-09-01,Base,Manukau,580.6789587852495
2025-09-01,Base,NorthShore,580.6789587852495
2025-09-01,Base,Papakura,580.6789587852495
2025-09-01,Base,Rodney,580.6789587852495
2025-09-01,Base,Waitakere,580.6789587852495
2025-10-01,Base,AucklandCity,580.6789587852495
2025-10-01,Base,Franklin,580.6789587852495
2025-10-01,Base,Manukau,580.6789587852495
2025-10-01,Base,NorthShore,580.6789587852495
2025-10-01,Base,Papakura,580.6789587852495
2025-10-01,Base,Rodney,580.6789587852495
2025-10-01,Base,Waitakere,580.6789587852495
2025-11-01,Base,AucklandCity,580.6789587852495
2025-11-01,Base,Franklin,580.6789587852495
2025-11-01,Base,Manukau,580.6789587852495
2025-11-01,Base,NorthShore,580.6789587852495
2025-11-01,Base,Papakura,580.6789587852495
2025-11-01,Base,Rodney,580.6789587852495
2025-11-01,Base,Waitakere,580.6789587852495
2025-12-01,Base,AucklandCity,580.6789587852495
2025-12-01,Base,Franklin,580.6789587852495
2025-12-01,Base,Manukau,580.6789587852495
2025-12-01,Base,NorthShore,580.6789587852495
2025-12-01,Base,Papakura,580.6789587852495
2025-12-01,Base,Rodney,580.6789587852495
2025-12-01,Base,Waitakere,580.6789587852495
2026-01-01,Base,AucklandCity,580.6789587852495
2026-01-01,Base,Franklin,580.6789587852495
2026-01-01,Base,Manukau,580.6789587852495
2026-01-01,Base,NorthShore,580.6789587852495
2026-01-01,Base,Papakura,580.6789587852495
2026-01-01,Base,Rodney,580.6789587852495
2026-01-01,Base,Waitakere,580.6789587852495
2026-02-01,Base,AucklandCity,580.6789587852495
2026-02-01,Base,Franklin,580.6789587852495
2026-02-01,Base,Manukau,580.6789587852495
2026-02-01,Base,NorthShore,580.6789587852495
2026-02-01,Base,Papakura,580.6789587852495
2026-02-01,Base,Rodney,580.6789587852495
2026-02-01,Base,Waitakere,580.6789587852495
2026-03-01,Base,AucklandCity,580.6789587852495
2026-03-01,Base,Franklin,580.6789587852495
2026-03-01,Base,Manukau,580.6789587852495
2026-03-01,Base,NorthShore,580.6789587852495
2026-03-01,Base,Papakura,580.6789587852495
2026-03-01,Base,Rodney,580.6789587852495
2026-03-01,Base,Waitakere,580.6789587852495
2026-04-01,Base,AucklandCity,580.6789587852495
2026-04-01,Base,Franklin,580.6789587852495
2026-04-01,Base,Manukau,580.6789587852495
2026-04-01,Base,NorthShore,580.6789587852495
2026-04-01,Base,Papakura,580.6789587852495
2026-04-01,Base,Rodney,580.6789587852495
2026-04-01,Base,Waitakere,580.6789587852495
2026-05-01,Base,AucklandCity,580.6789587852495
2026-05-01,Base,Franklin,580.6789587852495
2026-05-01,Base,Manukau,580.6789587852495
2026-05-01,Base,NorthShore,580.6789587852495
2026-05-01,Base,Papakura,580.6789587852495
2026-05-01,Base,Rodney,580.6789587852495
2026-05-01,Base,Waitakere,580.6789587852495
2026-06-01,Base,AucklandCity,580.6789587852495
2026-06-01,Base,Franklin,580.6789587852495
2026-06-01,Base,Manukau,580.6789587852495
2026-06-01,Base,NorthShore,580.6789587852495
2026-06-01,Base,Papakura,580.6789587852495
2026-06-01,Base,Rodney,580.6789587852495
2026-06-01,Base,Waitakere,580.6789587852495
2025-07-01,High,AucklandCity,638.7468546637745
2025-07-01,High,Franklin,638.7468546637745
2025-07-01,High,Manukau,638.7468546637745
2025-07-01,High,NorthShore,638.7468546637745
2025-07-01,High,Papakura,638.7468546637745
2025-07-01,High,Rodney,638.7468546637745
2025-07-01,High,Waitakere,638.7468546637745
2025-08-01,High,AucklandCity,638.7468546637745
2025-08-01,High,Franklin,638.7468546637745
2025-08-01,High,Manukau,638.7468546637745
2025-08-01,High,NorthShore,638.7468546637745
2025-08-01,High,Papakura,638.7468546637745
2025-08-01,High,Rodney,638.7468546637745
2025-08-01,High,Waitakere,638.7468546637745
2025-09-01,High,AucklandCity,638.7468546637745
2025-09-01,High,Franklin,638.7468546637745
2025-09-01,High,Manukau,638.7468546637745
2025-09-01,High,NorthShore,638.7468546637745
2025-09-01,High,Papakura,638.7468546637745
2025-09-01,High,Rodney,638.7468546637745
2025-09-01,High,Waitakere,638.7468546637745
2025-10-01,High,AucklandCity,638.7468546637745
2025-10-01,High,Franklin,638.7468546637745
2025-10-01,High,Manukau,638.7468546637745
2025-10-01,High,NorthShore,638.7468546637745
2025-10-01,High,Papakura,638.7468546637745
2025-10-01,High,Rodney,638.7468546637745
2025-10-01,High,Waitakere,638.7468546637745
2025-11-01,High,AucklandCity,638.7468546637745
2025-11-01,High,Franklin,638.7468546637745
2025-11-01,High,Manukau,638.7468546637745
2025-11-01,High,NorthShore,638.7468546637745
2025-11-01,High,Papakura,638.7468546637745
2025-11-01,High,Rodney,638.7468546637745
2025-11-01,High,Waitakere,638.7468546637745
2025-12-01,High,AucklandCity,638.7468546637745
2025-12-01,High,Franklin,638.7468546637745
2025-12-01,High,Manukau,638.7468546637745
2025-12-01,High,NorthShore,638.7468546637745
2025-12-01,High,Papakura,638.7468546637745
2025-12-01,High,Rodney,638.7468546637745
2025-12-01,High,Waitakere,638.7468546637745
2026-01-01,High,AucklandCity,638.7468546637745
2026-01-01,High,Franklin,638.7468546637745
2026-01-01,High,Manukau,638.7468546637745
2026-01-01,High,NorthShore,638.7468546637745
2026-01-01,High,Papakura,638.7468546637745
2026-01-01,High,Rodney,638.7468546637745
2026-01-01,High,Waitakere,638.7468546637745
2026-02-01,High,AucklandCity,638.7468546637745
2026-02-01,High,Franklin,638.7468546637745
2026-02-01,High,Manukau,638.7468546637745
2026-02-01,High,NorthShore,638.7468546637745
2026-02-01,High,Papakura,638.7468546637745
2026-02-01,High,Rodney,638.7468546637745
2026-02-01,High,Waitakere,638.7468546637745
2026-03-01,High,AucklandCity,638.7468546637745
2026-03-01,High,Franklin,638.7468546637745
2026-03-01,High,Manukau,638.7468546637745
2026-03-01,High,NorthShore,638.7468546637745
2026-03-01,High,Papakura,638.7468546637745
2026-03-01,High,Rodney,638.7468546637745
2026-03-01,High,Waitakere,638.7468546637745
2026-04-01,High,AucklandCity,638.7468546637745
2026-04-01,High,Franklin,638.7468546637745
2026-04-01,High,Manukau,638.7468546637745
2026-04-01,High,NorthShore,638.7468546637745
2026-04-01,High,Papakura,638.7468546637745
2026-04-01,High,Rodney,638.7468546637745
2026-04-01,High,Waitakere,638.7468546637745
2026-05-01,High,AucklandCity,638.7468546637745
2026-05-01,High,Franklin,638.7468546637745
2026-05-01,High,Manukau,638.7468546637745
2026-05-01,High,NorthShore,638.7468546637745
2026-05-01,High,Papakura,638.7468546637745
2026-05-01,High,Rodney,638.7468546637745
2026-05-01,High,Waitakere,638.7468546637745
2026-06-01,High,AucklandCity,638.7468546637745
2026-06-01,High,Franklin,638.7468546637745
2026-06-01,High,Manukau,638.7468546637745
2026-06-01,High,NorthShore,638.7468546637745
2026-06-01,High,Papakura,638.7468546637745
2026-06-01,High,Rodney,638.7468546637745
2026-06-01,High,Waitakere,638.7468546637745
2025-07-01,Low,AucklandCity,522.6110629067246
2025-07-01,Low,Franklin,522.6110629067246
2025-07-01,Low,Manukau,522.6110629067246
2025-07-01,Low,NorthShore,522.6110629067246
2025-07-01,Low,Papakura,522.6110629067246
2025-07-01,Low,Rodney,522.6110629067246
2025-07-01,Low,Waitakere,522.6110629067246
2025-08-01,Low,AucklandCity,522.6110629067246
2025-08-01,Low,Franklin,522.6110629067246
2025-08-01,Low,Manukau,522.6110629067246
2025-08-01,Low,NorthShore,522.6110629067246
2025-08-01,Low,Papakura,522.6110629067246
2025-08-01,Low,Rodney,522.6110629067246
2025-08-01,Low,Waitakere,522.6110629067246
2025-09-01,Low,AucklandCity,522.6110629067246
2025-09-01,Low,Franklin,522.6110629067246
2025-09-01,Low,Manukau,522.6110629067246
2025-09-01,Low,NorthShore,522.6110629067246
2025-09-01,Low,Papakura,522.6110629067246
2025-09-01,Low,Rodney,522.6110629067246
2025-09-01,Low,Waitakere,522.6110629067246
2025-10-01,Low,AucklandCity,522.6110629067246
2025-10-01,Low,Franklin,522.6110629067246
2025-10-01,Low,Manukau,522.6110629067246
2025-10-01,Low,NorthShore,522.6110629067246
2025-10-01,Low,Papakura,522.6110629067246
2025-10-01,Low,Rodney,522.6110629067246
2025-10-01,Low,Waitakere,522.6110629067246
2025-11-01,Low,AucklandCity,522.6110629067246
2025-11-01,Low,Franklin,522.6110629067246
2025-11-01,Low,Manukau,522.6110629067246
2025-11-01,Low,NorthShore,522.6110629067246
2025-11-01,Low,Papakura,522.6110629067246
2025-11-01,Low,Rodney,522.6110629067246
2025-11-01,Low,Waitakere,522.6110629067246
2025-12-01,Low,AucklandCity,522.6110629067246
2025-12-01,Low,Franklin,522.6110629067246
2025-12-01,Low,Manukau,522.6110629067246
2025-12-01,Low,NorthShore,522.6110629067246
2025-12-01,Low,Papakura,522.6110629067246
