Month,CPI,CGPI_Dwelling,OCR,2YearFixedRate,unemployment_rate
2018-08-01,1024.33,741.63,1.75,5.0,4.17
2018-09-01,1024.67,744.04,1.75,4.93,4.1
2018-10-01,1025.0,746.4399999999999,1.75,4.92,4.13
2018-12-01,1025.67,750.21,1.75,4.93,4.2
2019-01-01,1026.0,752.1,1.75,4.93,4.2
2019-02-01,1028.0,754.07,1.75,4.92,4.2
2019-03-01,1030.0,756.03,1.75,4.81,4.2
2019-04-01,1032.0,758.0,1.75,4.78,4.2
2019-05-01,1034.33,760.4800000000001,1.5,4.7299999999999995,4.2
2019-06-01,1036.67,762.95,1.5,4.69,4.2
2019-07-01,1039.0,765.43,1.5,4.67,4.23
2019-08-01,1040.67,767.24,1.0,4.589999999999999,4.27
2019-09-01,1042.33,769.04,1.0,4.48,4.3
2019-10-01,1044.0,770.85,1.0,4.41,4.27
2019-11-01,1046.67,773.28,1.0,4.42,4.23
2019-12-01,1049.33,775.7,1.0,4.44,4.2
2020-01-01,1052.0,778.13,1.0,4.44,4.23
2020-02-01,1050.33,779.58,1.0,4.45,4.27
2020-03-01,1048.67,781.03,0.25,4.22,4.3
2020-04-01,1047.0,782.4800000000001,0.25,4.19,4.3
2020-05-01,1049.33,783.13,0.25,3.9199999999999995,4.3
2020-06-01,1051.67,783.78,0.25,3.7399999999999998,4.3
2020-08-01,1055.67,787.47,0.25,3.68,4.5
2020-09-01,1057.33,790.5,0.25,3.63,4.6
2020-10-01,1059.0,793.54,0.25,3.55,4.7
2020-11-01,1062.0,796.2300000000001,0.25,3.5100000000000002,4.8
2020-12-01,1065.0,798.93,0.25,3.5100000000000002,4.9
2021-01-01,1068.0,801.62,0.25,3.4899999999999998,4.93
2021-02-01,1072.67,812.83,0.25,3.47,4.97
2021-03-01,1077.33,824.05,0.25,3.47,5.0
2021-04-01,1082.0,835.26,0.25,3.46,5.03
2021-05-01,1090.0,846.43,0.25,3.47,5.07
2021-06-01,1098.0,857.6,0.25,3.47,5.1
2021-07-01,1106.0,868.7699999999999,0.25,3.6699999999999995,4.87
2021-08-01,1111.33,880.18,0.25,3.69,4.63
2021-09-01,1116.67,891.59,0.25,3.87,4.4
2021-10-01,1122.0,903.0,0.5,4.22,4.23
2021-11-01,1128.67,912.66,0.75,4.65,4.07
2021-12-01,1135.33,922.33,0.75,4.7299999999999995,3.9
2022-01-01,1142.0,931.99,0.75,4.71,3.77
2022-02-01,1148.33,945.2699999999999,1.0,4.75,3.63
2022-03-01,1154.67,958.5600000000001,1.0,5.04,3.5
2022-04-01,1161.0,971.84,1.5,5.55,3.43
2022-05-01,1169.33,981.2300000000001,2.0,5.62,3.37
2022-06-01,1177.67,990.61,2.0,5.99,3.3
2022-07-01,1186.0,1000.0,2.5,5.94,3.3
2022-08-01,1191.67,1006.67,3.0,5.910000000000001,3.3
2022-09-01,1197.33,1013.33,3.0,6.06,3.3
2022-10-01,1203.0,1020.0,3.5,6.47,3.37
2022-11-01,1208.0,1024.67,4.25,6.75,3.43
2022-12-01,1213.0,1029.33,4.25,7.08,3.5
2023-01-01,1218.0,1034.0,4.25,7.08,3.47
2023-02-01,1222.33,1038.33,4.75,7.0,3.43
2023-03-01,1226.67,1042.67,4.75,7.03,3.4
2023-04-01,1231.0,1047.0,5.25,7.07,3.43
2023-05-01,1238.33,1049.67,5.5,7.1,3.47
2023-06-01,1245.67,1052.33,5.5,7.15,3.5
2023-07-01,1253.0,1055.0,5.5,7.32,3.53
2023-08-01,1255.0,1057.67,5.5,7.42,3.57
2023-09-01,1257.0,1060.33,5.5,7.5,3.6
2023-10-01,1259.0,1063.0,5.5,7.6,3.6699999999999995
2023-11-01,1261.67,1066.0,5.5,7.589999999999999,3.73
2023-12-01,1264.33,1069.0,5.5,7.54,3.8
2024-01-01,1267.0,1072.0,5.5,7.4799999999999995,3.93
2024-02-01,1268.67,1075.33,5.5,7.45,4.07
2024-03-01,1270.33,1078.67,5.5,7.4,4.2
2024-04-01,1272.0,1082.0,5.5,7.38,4.27
2024-05-01,1274.67,1082.33,5.5,7.36,4.33
2024-06-01,1277.33,1082.67,5.5,7.35,4.4
2024-07-01,1280.0,1083.0,5.5,7.15,4.5
2024-08-01,1282.33,1084.33,5.25,6.660000000000001,4.6
2024-09-01,1284.67,1085.67,5.25,6.4799999999999995,4.7
2024-10-01,1287.0,1087.0,4.75,6.29,4.8
2024-11-01,1291.0,1088.67,4.25,6.2700000000000005,4.9
2024-12-01,1295.0,1090.33,4.25,6.12,5.0
2025-01-01,1299.0,1092.0,4.25,6.03,5.13
2025-02-01,1301.33,1092.0,3.75,5.72,5.2700000000000005
2025-03-01,1303.67,1092.0,3.75,5.7299999999999995,5.4
2025-04-01,1306.0,1092.0,3.5,5.660000000000001,5.53
2025-05-01,1310.33,1092.67,3.25,5.63,5.67
2025-06-01,1314.67,1093.33,3.25,5.589999999999999,5.8
