pdq,pdqs,bic,aic,hqic,status
"(0, 1, 0)","(0, 1, 0, 12)",979.2714305784033,977.0667379590124,977.9391403428448,ok
"(0, 1, 0)","(0, 1, 1, 12)",797.4665328142133,793.4518664437484,795.004370359714,ok
"(0, 1, 0)","(1, 1, 0, 12)",814.7612273832228,810.7105240017526,812.2809731362869,ok
"(0, 1, 0)","(1, 1, 1, 12)",801.4642046629057,795.4422051072082,797.7709609811566,ok
"(0, 1, 1)","(0, 1, 0, 12)",941.8056680663477,937.4263585822948,939.1568319025665,ok
"(0, 1, 1)","(0, 1, 1, 12)",763.9017376561923,757.9347855164995,760.2360049578481,ok
"(0, 1, 1)","(1, 1, 0, 12)",796.4079758002625,790.3319207280571,792.6875944298586,ok
"(0, 1, 1)","(1, 1, 1, 12)",767.8211577533261,759.865221567069,762.9335141555339,ok
"(1, 1, 0)","(0, 1, 0, 12)",965.2195688485507,960.8101836097687,962.5549883774335,ok
"(1, 1, 0)","(0, 1, 1, 12)",786.5169445600267,780.4949450043292,782.8237008782776,ok
"(1, 1, 0)","(1, 1, 0, 12)",793.3525704492013,787.3305708935038,789.6593267674522,ok
"(1, 1, 0)","(1, 1, 1, 12)",790.316918322182,782.2875855812521,785.3925934131832,ok
"(1, 1, 1)","(0, 1, 0, 12)",945.5671880321166,938.9982238060373,941.5939337864448,ok
"(1, 1, 1)","(0, 1, 1, 12)",767.1774350824742,759.2214988962171,762.2897914846819,ok
"(1, 1, 1)","(1, 1, 0, 12)",786.3152775203308,778.2859447794009,781.3909526113321,ok
"(1, 1, 1)","(1, 1, 1, 12)",771.0700421897119,761.1251219568906,764.9604876924716,ok
