Month,Consents,sales_count
2018-08-01,1294.0,1837
2018-09-01,849.0,1715
2018-10-01,1072.0,2028
2018-12-01,936.0,1412
2019-01-01,1119.0,1180
2019-02-01,1349.0,1390
2019-03-01,1104.0,2083
2019-04-01,1042.0,1725
2019-05-01,1646.0,2001
2019-06-01,1150.0,1878
2019-07-01,1450.0,1969
2019-08-01,1403.0,1811
2019-09-01,1137.0,1866
2019-10-01,1353.0,2025
2019-11-01,1120.0,2396
2019-12-01,1225.0,1932
2020-01-01,949.0,1343
2020-02-01,1229.0,2046
2020-03-01,1180.0,2554
2020-04-01,884.0,538
2020-05-01,1366.0,1172
2020-06-01,1434.0,2054
2020-08-01,1386.0,2689
2020-09-01,1728.0,2996
2020-10-01,1558.0,3234
2020-11-01,1731.0,3857
2020-12-01,1587.0,3525
2021-01-01,1403.0,1951
2021-02-01,1173.0,2912
2021-03-01,1616.0,4013
2021-04-01,1616.0,2682
2021-05-01,1704.0,2856
2021-06-01,1905.0,2853
2021-07-01,1688.0,2767
2021-08-01,2159.0,2418
2021-09-01,1689.0,1410
2021-10-01,1607.0,2688
2021-11-01,2185.0,3182
2021-12-01,1729.0,2415
2022-01-01,1198.0,1415
2022-02-01,1631.0,1820
2022-03-01,2306.0,2379
2022-04-01,1607.0,1669
2022-05-01,1924.0,1893
2022-06-01,1828.0,1753
2022-07-01,1819.0,1564
2022-08-01,1878.0,1539
2022-09-01,2206.0,1700
2022-10-01,1585.0,1632
2022-11-01,1951.0,1847
2022-12-01,1296.0,1372
2023-01-01,1059.0,961
2023-02-01,1285.0,1102
2023-03-01,1810.0,1890
2023-04-01,1326.0,1306
2023-05-01,1436.0,1851
2023-06-01,1374.0,1984
2023-07-01,1476.0,1711
2023-08-01,1137.0,1933
2023-09-01,1280.0,2115
2023-10-01,1176.0,1845
2023-11-01,1154.0,2106
2023-12-01,914.0,1582
2024-01-01,883.0,894
2024-02-01,1229.0,1828
2024-03-01,1254.0,2152
2024-04-01,1278.0,1848
2024-05-01,1273.0,1986
2024-06-01,741.0,1506
2024-07-01,1288.0,1908
2024-08-01,1224.0,1985
2024-09-01,1358.0,2039
2024-10-01,1215.0,2272
2024-11-01,1199.0,2332
2024-12-01,950.0,1809
2025-01-01,866.0,986
2025-02-01,1086.0,1880
2025-03-01,1531.0,2428
2025-04-01,975.0,2065
2025-05-01,1387.0,2171
2025-06-01,1174.0,1821
