Month,District,OCR,CGPI_Dwelling,Net_migration_monthly,weeklyrent,unemployment_rate,RealMortgageRate,log_Median_Price,log_sales_count,log_Consents
2018-08,AucklandCity,1.75,741.63,866.67,536.5,4.17,3.103,13.748301808270824,6.3835066348840055,5.680172609017068
2018-08,Franklin,1.75,741.63,116.67,485.0,4.17,3.103,13.413539339110365,4.30406509320417,3.9889840465642745
2018-08,Manukau,1.75,741.63,225.0,474.5,4.17,3.103,13.664687668229691,5.968707559985366,5.564520407322694
2018-08,NorthShore,1.75,741.63,558.33,555.5,4.17,3.103,13.732128949025222,5.700443573390687,6.093569770045136
2018-08,Papakura,1.75,741.63,125.0,479.0,4.17,3.103,13.423948355025102,4.3694478524670215,4.574710978503383
2018-08,Rodney,1.75,741.63,166.67,510.0,4.17,3.103,13.704578997256993,4.976733742420574,4.465908118654584
2018-08,Waitakere,1.75,741.63,66.67,493.0,4.17,3.103,13.567049198665774,5.54907608489522,4.07753744390572
2018-09,AucklandCity,1.75,744.04,866.67,536.5,4.1,3.0367,13.764217263576723,6.220590170099739,5.4680601411351315
2018-09,Franklin,1.75,744.04,116.67,485.0,4.1,3.0367,13.43131758513165,4.382026634673881,3.7612001156935624
2018-09,Manukau,1.75,744.04,225.0,474.5,4.1,3.0367,13.670484785914017,5.84354441703136,4.718498871295094
2018-09,NorthShore,1.75,744.04,558.33,555.5,4.1,3.0367,13.81049801614073,5.707110264748875,5.501258210544727
2018-09,Papakura,1.75,744.04,125.0,479.0,4.1,3.0367,13.415032991367148,4.394449154672439,4.6443908991413725
2018-09,Rodney,1.75,744.04,166.67,510.0,4.1,3.0367,13.661776458022231,4.875197323201151,4.204692619390966
2018-09,Waitakere,1.75,744.04,66.67,493.0,4.1,3.0367,13.480037821676145,5.6131281063880705,3.713572066704308
2018-10,AucklandCity,1.75,746.44,866.67,536.5,4.13,3.0313,13.771558670435091,6.4967749901858625,5.402677381872279
2018-10,Franklin,1.75,746.44,116.67,485.0,4.13,3.0313,13.366876954454732,4.356708826689592,4.23410650459726
2018-10,Manukau,1.75,746.44,225.0,474.5,4.13,3.0313,13.62918097977278,5.991464547107982,5.231108616854587
2018-10,NorthShore,1.75,746.44,558.33,555.5,4.13,3.0313,13.812506048943975,5.793013608384144,5.488937726156687
2018-10,Papakura,1.75,746.44,125.0,479.0,4.13,3.0313,13.422467969854667,4.454347296253507,4.700480365792417
2018-10,Rodney,1.75,746.44,166.67,510.0,4.13,3.0313,13.676248490630767,5.0689042022202315,4.454347296253507
2018-10,Waitakere,1.75,746.44,66.67,493.0,4.13,3.0313,13.623138665316818,5.749392985908253,5.049856007249537
2018-12,AucklandCity,1.75,750.21,866.67,536.5,4.2,3.3111,13.769466619462868,6.095824562432225,5.961005339623274
2018-12,Franklin,1.75,750.21,116.67,485.0,4.2,3.3111,13.45166712454693,4.1588830833596715,4.060443010546419
2018-12,Manukau,1.75,750.21,225.0,474.5,4.2,3.3111,13.631587719803345,5.68697535633982,5.081404364984463
2018-12,NorthShore,1.75,750.21,558.33,555.5,4.2,3.3111,13.795307850646754,5.37989735354046,5.187385805840755
2018-12,Papakura,1.75,750.21,125.0,479.0,4.2,3.3111,13.437174117244362,4.0943445622221,3.58351893845611
2018-12,Rodney,1.75,750.21,166.67,510.0,4.2,3.3111,13.676248490630767,4.836281906951478,4.07753744390572
2018-12,Waitakere,1.75,750.21,66.67,493.0,4.2,3.3111,13.623744542342319,5.327876168789581,4.007333185232471
2019-01,AucklandCity,1.75,752.1,218.33,550.0,4.2,3.4463,13.67911793305872,5.860786223465865,6.163314804034641
2019-01,Franklin,1.75,752.1,100.0,500.0,4.2,3.4463,13.38472764187182,4.276666119016055,4.127134385045092
2019-01,Manukau,1.75,752.1,245.0,483.75,4.2,3.4463,13.618278388434565,5.365976015021851,5.111987788356544
2019-01,NorthShore,1.75,752.1,238.33,573.0,4.2,3.4463,13.732128949025222,5.043425116919247,5.049856007249537
2019-01,Papakura,1.75,752.1,133.33,495.0,4.2,3.4463,13.38472764187182,4.23410650459726,4.770684624465665
2019-01,Rodney,1.75,752.1,141.67,511.0,4.2,3.4463,13.652991628466498,4.812184355372417,4.605170185988092
2019-01,Waitakere,1.75,752.1,46.67,507.5,4.2,3.4463,13.527828485512494,5.278114659230517,3.7376696182833684
2019-02,AucklandCity,1.75,754.07,218.33,550.0,4.2,3.3721,13.795307850646754,6.1675164908883415,6.059123195581797
2019-02,Franklin,1.75,754.07,100.0,500.0,4.2,3.3721,13.407542319637992,4.248495242049359,4.61512051684126
2019-02,Manukau,1.75,754.07,245.0,483.75,4.2,3.3721,13.631587719803345,5.5053315359323625,5.645446897643238
