Month,District,weeklyrent
2000-01,AucklandCity,261.67
2000-01,Franklin,207.0
2000-01,Manukau,228.0
2000-01,NorthShore,257.0
2000-01,Papakura,222.0
2000-01,Rodney,210.0
2000-01,Waitakere,233.5
2000-02,AucklandCity,261.67
2000-02,Franklin,207.0
2000-02,Manukau,228.0
2000-02,NorthShore,257.0
2000-02,Papakura,222.0
2000-02,Rodney,210.0
2000-02,Waitakere,233.5
2000-03,AucklandCity,261.67
2000-03,Franklin,207.0
2000-03,Manukau,228.0
2000-03,NorthShore,257.0
2000-03,Papakura,222.0
2000-03,Rodney,210.0
2000-03,Waitakere,233.5
2000-04,AucklandCity,261.67
2000-04,Franklin,207.0
2000-04,Manukau,228.0
2000-04,NorthShore,257.0
2000-04,Papakura,222.0
2000-04,Rodney,210.0
2000-04,Waitakere,233.5
2000-05,AucklandCity,261.67
2000-05,Franklin,207.0
2000-05,Manukau,228.0
2000-05,NorthShore,257.0
2000-05,Papakura,222.0
2000-05,Rodney,210.0
2000-05,Waitakere,233.5
2000-06,AucklandCity,261.67
2000-06,Franklin,207.0
2000-06,Manukau,228.0
2000-06,NorthShore,257.0
2000-06,Papakura,222.0
2000-06,Rodney,210.0
2000-06,Waitakere,233.5
2000-07,AucklandCity,261.67
2000-07,Franklin,207.0
2000-07,Manukau,228.0
2000-07,NorthShore,257.0
2000-07,Papakura,222.0
2000-07,Rodney,210.0
2000-07,Waitakere,233.5
2000-08,AucklandCity,261.67
2000-08,Franklin,207.0
2000-08,Manukau,228.0
2000-08,NorthShore,257.0
2000-08,Papakura,222.0
2000-08,Rodney,210.0
2000-08,Waitakere,233.5
2000-09,AucklandCity,261.67
2000-09,Franklin,207.0
2000-09,Manukau,228.0
2000-09,NorthShore,257.0
2000-09,Papakura,222.0
2000-09,Rodney,210.0
2000-09,Waitakere,233.5
2000-10,AucklandCity,261.67
2000-10,Franklin,207.0
2000-10,Manukau,228.0
2000-10,NorthShore,257.0
2000-10,Papakura,222.0
2000-10,Rodney,210.0
2000-10,Waitakere,233.5
2000-11,AucklandCity,261.67
2000-11,Franklin,207.0
2000-11,Manukau,228.0
2000-11,NorthShore,257.0
2000-11,Papakura,222.0
2000-11,Rodney,210.0
2000-11,Waitakere,233.5
2000-12,AucklandCity,261.67
2000-12,Franklin,207.0
2000-12,Manukau,228.0
2000-12,NorthShore,257.0
2000-12,Papakura,222.0
2000-12,Rodney,210.0
2000-12,Waitakere,233.5
2001-01,AucklandCity,263.33
2001-01,Franklin,208.0
2001-01,Manukau,229.25
2001-01,NorthShore,266.0
2001-01,Papakura,220.0
2001-01,Rodney,212.0
2001-01,Waitakere,235.0
2001-02,AucklandCity,263.33
2001-02,Franklin,208.0
2001-02,Manukau,229.25
2001-02,NorthShore,266.0
2001-02,Papakura,220.0
2001-02,Rodney,212.0
2001-02,Waitakere,235.0
2001-03,AucklandCity,263.33
2001-03,Franklin,208.0
2001-03,Manukau,229.25
2001-03,NorthShore,266.0
2001-03,Papakura,220.0
2001-03,Rodney,212.0
2001-03,Waitakere,235.0
2001-04,AucklandCity,263.33
2001-04,Franklin,208.0
2001-04,Manukau,229.25
2001-04,NorthShore,266.0
2001-04,Papakura,220.0
2001-04,Rodney,212.0
2001-04,Waitakere,235.0
2001-05,AucklandCity,263.33
2001-05,Franklin,208.0
2001-05,Manukau,229.25
2001-05,NorthShore,266.0
2001-05,Papakura,220.0
2001-05,Rodney,212.0
2001-05,Waitakere,235.0
2001-06,AucklandCity,263.33
2001-06,Franklin,208.0
2001-06,Manukau,229.25
2001-06,NorthShore,266.0
2001-06,Papakura,220.0
2001-06,Rodney,212.0
2001-06,Waitakere,235.0
2001-07,AucklandCity,263.33
2001-07,Franklin,208.0
2001-07,Manukau,229.25
2001-07,NorthShore,266.0
2001-07,Papakura,220.0
2001-07,Rodney,212.0
2001-07,Waitakere,235.0
2001-08,AucklandCity,263.33
2001-08,Franklin,208.0
2001-08,Manukau,229.25
2001-08,NorthShore,266.0
2001-08,Papakura,220.0
2001-08,Rodney,212.0
2001-08,Waitakere,235.0
2001-09,AucklandCity,263.33
2001-09,Franklin,208.0
2001-09,Manukau,229.25
2001-09,NorthShore,266.0
2001-09,Papakura,220.0
2001-09,Rodney,212.0
2001-09,Waitakere,235.0
2001-10,AucklandCity,263.33
2001-10,Franklin,208.0
2001-10,Manukau,229.25
