Year,District,weeklyrent
2000,AucklandCity,261.6666666666667
2000,Franklin,207.0
2000,Manukau,228.0
2000,NorthShore,257.0
2000,Papakura,222.0
2000,Rodney,210.0
2000,Waitakere,233.5
2001,AucklandCity,263.3333333333333
2001,Franklin,208.0
2001,Manukau,229.25
2001,NorthShore,266.0
2001,Papakura,220.0
2001,Rodney,212.0
2001,Waitakere,235.0
2002,AucklandCity,281.3333333333333
2002,Franklin,212.0
2002,Manukau,240.0
2002,NorthShore,278.25
2002,Papakura,233.0
2002,Rodney,217.0
2002,Waitakere,242.0
2003,AucklandCity,316.6666666666667
2003,Franklin,222.0
2003,Manukau,261.5
2003,NorthShore,311.25
2003,Papakura,242.0
2003,Rodney,234.0
2003,Waitakere,267.0
2004,AucklandCity,323.1666666666667
2004,Franklin,248.0
2004,Manukau,278.75
2004,NorthShore,331.0
2004,Papakura,260.0
2004,Rodney,264.0
2004,Waitakere,288.5
2005,AucklandCity,323.0
2005,Franklin,264.0
2005,Manukau,282.75
2005,NorthShore,329.75
2005,Papakura,269.0
2005,Rodney,276.0
2005,Waitakere,290.5
2006,AucklandCity,324.5
2006,Franklin,276.0
2006,Manukau,291.5
2006,NorthShore,338.5
2006,Papakura,281.0
2006,Rodney,289.0
2006,Waitakere,298.5
2007,AucklandCity,338.8333333333333
2007,Franklin,291.0
2007,Manukau,309.0
2007,NorthShore,356.5
2007,Papakura,295.0
2007,Rodney,307.0
2007,Waitakere,309.5
2008,AucklandCity,357.8333333333333
2008,Franklin,316.0
2008,Manukau,326.5
2008,NorthShore,381.25
2008,Papakura,314.0
2008,Rodney,327.0
2008,Waitakere,328.5
2009,AucklandCity,365.8333333333333
2009,Franklin,317.0
2009,Manukau,334.5
2009,NorthShore,386.75
2009,Papakura,318.0
2009,Rodney,332.0
2009,Waitakere,333.5
2010,AucklandCity,373.0
2010,Franklin,326.0
2010,Manukau,341.5
2010,NorthShore,389.25
2010,Papakura,320.0
2010,Rodney,336.0
2010,Waitakere,337.0
2011,AucklandCity,391.5
2011,Franklin,339.0
2011,Manukau,354.0
2011,NorthShore,407.0
2011,Papakura,335.0
2011,Rodney,348.0
2011,Waitakere,355.5
2012,AucklandCity,411.6666666666667
2012,Franklin,349.0
2012,Manukau,370.25
2012,NorthShore,425.5
2012,Papakura,350.0
2012,Rodney,355.0
2012,Waitakere,371.5
2013,AucklandCity,425.5
2013,Franklin,365.0
2013,Manukau,387.25
2013,NorthShore,443.75
2013,Papakura,370.0
2013,Rodney,372.0
2013,Waitakere,389.0
2014,AucklandCity,442.5
2014,Franklin,386.0
2014,Manukau,397.75
2014,NorthShore,456.75
2014,Papakura,381.0
2014,Rodney,396.0
2014,Waitakere,405.5
2015,AucklandCity,468.0
2015,Franklin,412.0
2015,Manukau,420.0
2015,NorthShore,485.0
2015,Papakura,407.0
2015,Rodney,422.0
2015,Waitakere,424.0
2016,AucklandCity,496.6666666666667
2016,Franklin,439.0
2016,Manukau,445.5
2016,NorthShore,512.25
2016,Papakura,437.0
2016,Rodney,451.0
2016,Waitakere,450.0
2017,AucklandCity,517.3333333333334
2017,Franklin,463.0
2017,Manukau,460.75
2017,NorthShore,533.75
2017,Papakura,468.0
2017,Rodney,487.0
2017,Waitakere,470.5
2018,AucklandCity,536.5
2018,Franklin,485.0
2018,Manukau,474.5
2018,NorthShore,555.5
2018,Papakura,479.0
2018,Rodney,510.0
2018,Waitakere,493.0
2019,AucklandCity,550.0
2019,Franklin,500.0
2019,Manukau,483.75
2019,NorthShore,573.0
2019,Papakura,495.0
2019,Rodney,511.0
2019,Waitakere,507.5
2020,AucklandCity,567.5
2020,Franklin,511.0
2020,Manukau,505.5
2020,NorthShore,585.5
2020,Papakura,518.0
2020,Rodney,542.0
2020,Waitakere,517.5
2021,AucklandCity,587.3333333333334
2021,Franklin,554.0
2021,Manukau,525.75
2021,NorthShore,605.0
2021,Papakura,559.0
2021,Rodney,570.0
2021,Waitakere,546.0
2022,AucklandCity,606.6666666666666
2022,Franklin,601.0
2022,Manukau,559.25
2022,NorthShore,635.0
2022,Papakura,594.0
2022,Rodney,598.0
2022,Waitakere,581.0
2023,AucklandCity,612.8333333333334
2023,Franklin,613.0
2023,Manukau,574.75
2023,NorthShore,651.75
2023,Papakura,604.0
2023,Rodney,620.0
2023,Waitakere,588.5
2024,AucklandCity,651.1666666666666
2024,Franklin,647.0
2024,Manukau,617.75
2024,NorthShore,695.5
2024,Papakura,649.0
2024,Rodney,654.0
2024,Waitakere,637.0
2025,AucklandCity,642.0
2025,Franklin,656.0
2025,Manukau,619.0
2025,NorthShore,702.25
2025,Papakura,641.0
2025,Rodney,681.0
2025,Waitakere,619.0
