Month,District,Consents
2018-01,AucklandCity,193.0
2018-01,Franklin,41.0
2018-01,Manukau,103.0
2018-01,NorthShore,208.0
2018-01,Papakura,68.0
2018-01,Rodney,46.0
2018-01,Waitakere,55.0
2018-02,AucklandCity,193.0
2018-02,Franklin,37.0
2018-02,Manukau,165.0
2018-02,NorthShore,226.0
2018-02,Papakura,44.0
2018-02,Rodney,57.0
2018-02,Waitakere,49.0
2018-03,AucklandCity,273.0
2018-03,Franklin,50.0
2018-03,Manukau,360.0
2018-03,NorthShore,238.0
2018-03,Papakura,60.0
2018-03,Rodney,53.0
2018-03,Waitakere,44.0
2018-04,AucklandCity,226.0
2018-04,Franklin,72.0
2018-04,Manukau,220.0
2018-04,NorthShore,442.0
2018-04,Papakura,82.0
2018-04,Rodney,45.0
2018-04,Waitakere,73.0
2018-05,AucklandCity,692.0
2018-05,Franklin,76.0
2018-05,Manukau,180.0
2018-05,NorthShore,320.0
2018-05,Papakura,103.0
2018-05,Rodney,82.0
2018-05,Waitakere,73.0
2018-06,AucklandCity,291.0
2018-06,Franklin,74.0
2018-06,Manukau,202.0
2018-06,NorthShore,234.0
2018-06,Papakura,49.0
2018-06,Rodney,67.0
2018-06,Waitakere,79.0
2018-07,AucklandCity,358.0
2018-07,Franklin,81.0
2018-07,Manukau,278.0
2018-07,NorthShore,248.0
2018-07,Papakura,105.0
2018-07,Rodney,54.0
2018-07,Waitakere,119.0
2018-08,AucklandCity,293.0
2018-08,Franklin,54.0
2018-08,Manukau,261.0
2018-08,NorthShore,443.0
2018-08,Papakura,97.0
2018-08,Rodney,87.0
2018-08,Waitakere,59.0
2018-09,AucklandCity,237.0
2018-09,Franklin,43.0
2018-09,Manukau,112.0
2018-09,NorthShore,245.0
2018-09,Papakura,104.0
2018-09,Rodney,67.0
2018-09,Waitakere,41.0
2018-10,AucklandCity,222.0
2018-10,Franklin,69.0
2018-10,Manukau,187.0
2018-10,NorthShore,242.0
2018-10,Papakura,110.0
2018-10,Rodney,86.0
2018-10,Waitakere,156.0
2018-11,AucklandCity,322.0
2018-11,Franklin,53.0
2018-11,Manukau,248.0
2018-11,NorthShore,272.0
2018-11,Papakura,80.0
2018-11,Rodney,68.0
2018-11,Waitakere,125.0
2018-12,AucklandCity,388.0
2018-12,Franklin,58.0
2018-12,Manukau,161.0
2018-12,NorthShore,179.0
2018-12,Papakura,36.0
2018-12,Rodney,59.0
2018-12,Waitakere,55.0
2019-01,AucklandCity,475.0
2019-01,Franklin,62.0
2019-01,Manukau,166.0
2019-01,NorthShore,156.0
2019-01,Papakura,118.0
2019-01,Rodney,100.0
2019-01,Waitakere,42.0
2019-02,AucklandCity,428.0
2019-02,Franklin,101.0
2019-02,Manukau,283.0
2019-02,NorthShore,273.0
2019-02,Papakura,133.0
2019-02,Rodney,59.0
2019-02,Waitakere,72.0
2019-03,AucklandCity,246.0
2019-03,Franklin,72.0
2019-03,Manukau,152.0
2019-03,NorthShore,389.0
2019-03,Papakura,125.0
2019-03,Rodney,62.0
2019-03,Waitakere,58.0
2019-04,AucklandCity,331.0
2019-04,Franklin,60.0
2019-04,Manukau,178.0
2019-04,NorthShore,176.0
2019-04,Papakura,149.0
2019-04,Rodney,76.0
2019-04,Waitakere,72.0
2019-05,AucklandCity,406.0
2019-05,Franklin,66.0
2019-05,Manukau,260.0
2019-05,NorthShore,290.0
2019-05,Papakura,179.0
2019-05,Rodney,60.0
2019-05,Waitakere,385.0
2019-06,AucklandCity,400.0
2019-06,Franklin,56.0
2019-06,Manukau,183.0
2019-06,NorthShore,264.0
2019-06,Papakura,114.0
2019-06,Rodney,61.0
2019-06,Waitakere,72.0
2019-07,AucklandCity,605.0
2019-07,Franklin,63.0
2019-07,Manukau,206.0
2019-07,NorthShore,262.0
2019-07,Papakura,115.0
2019-07,Rodney,79.0
2019-07,Waitakere,120.0
2019-08,AucklandCity,437.0
2019-08,Franklin,83.0
2019-08,Manukau,319.0
2019-08,NorthShore,321.0
2019-08,Papakura,88.0
2019-08,Rodney,71.0
2019-08,Waitakere,84.0
2019-09,AucklandCity,304.0
2019-09,Franklin,47.0
2019-09,Manukau,280.0
2019-09,NorthShore,244.0
2019-09,Papakura,57.0
2019-09,Rodney,51.0
2019-09,Waitakere,154.0
2019-10,AucklandCity,300.0
2019-10,Franklin,65.0
2019-10,Manukau,180.0
2019-10,NorthShore,322.0
2019-10,Papakura,112.0
2019-10,Rodney,88.0
2019-10,Waitakere,286.0
2019-11,AucklandCity,245.0
2019-11,Franklin,58.0
2019-11,Manukau,285.0
2019-11,NorthShore,151.0
2019-11,Papakura,156.0
2019-11,Rodney,68.0
2019-11,Waitakere,157.0
2019-12,AucklandCity,427.0
2019-12,Franklin,62.0
2019-12,Manukau,231.0
2019-12,NorthShore,223.0
2019-12,Papakura,82.0
2019-12,Rodney,45.0
2019-12,Waitakere,155.0
2020-01,AucklandCity,147.0
2020-01,Franklin,119.0
2020-01,Manukau,239.0
2020-01,NorthShore,188.0
2020-01,Papakura,95.0
2020-01,Rodney,54.0
2020-01,Waitakere,107.0
2020-02,AucklandCity,240.0
2020-02,Franklin,54.0
2020-02,Manukau,340.0
2020-02,NorthShore,247.0
2020-02,Papakura,127.0
2020-02,Rodney,87.0
2020-02,Waitakere,134.0
2020-03,AucklandCity,288.0
2020-03,Franklin,65.0
2020-03,Manukau,276.0
2020-03,NorthShore,271.0
2020-03,Papakura,106.0
2020-03,Rodney,73.0
2020-03,Waitakere,101.0
2020-04,AucklandCity,151.0
2020-04,Franklin,70.0
2020-04,Manukau,165.0
2020-04,NorthShore,168.0
2020-04,Papakura,133.0
2020-04,Rodney,107.0
2020-04,Waitakere,90.0
2020-05,AucklandCity,516.0
2020-05,Franklin,85.0
2020-05,Manukau,204.0
2020-05,NorthShore,196.0
2020-05,Papakura,121.0
2020-05,Rodney,90.0
2020-05,Waitakere,154.0
2020-06,AucklandCity,275.0
2020-06,Franklin,109.0
2020-06,Manukau,287.0
2020-06,NorthShore,378.0
2020-06,Papakura,111.0
2020-06,Rodney,83.0
2020-06,Waitakere,191.0
2020-07,AucklandCity,305.0
2020-07,Franklin,67.0
2020-07,Manukau,288.0
2020-07,NorthShore,315.0
2020-07,Papakura,180.0
2020-07,Rodney,152.0
2020-07,Waitakere,259.0
2020-08,AucklandCity,244.0
2020-08,Franklin,95.0
2020-08,Manukau,237.0
2020-08,NorthShore,382.0
2020-08,Papakura,114.0
2020-08,Rodney,97.0
2020-08,Waitakere,217.0
2020-09,AucklandCity,458.0
2020-09,Franklin,71.0
2020-09,Manukau,351.0
2020-09,NorthShore,423.0
2020-09,Papakura,153.0
2020-09,Rodney,126.0
2020-09,Waitakere,146.0
2020-10,AucklandCity,352.0
2020-10,Franklin,76.0
2020-10,Manukau,352.0
2020-10,NorthShore,339.0
2020-10,Papakura,123.0
2020-10,Rodney,120.0
2020-10,Waitakere,196.0
2020-11,AucklandCity,538.0
2020-11,Franklin,91.0
2020-11,Manukau,452.0
2020-11,NorthShore,210.0
2020-11,Papakura,140.0
2020-11,Rodney,98.0
2020-11,Waitakere,202.0
2020-12,AucklandCity,489.0
2020-12,Franklin,71.0
2020-12,Manukau,468.0
2020-12,NorthShore,177.0
2020-12,Papakura,165.0
2020-12,Rodney,76.0
2020-12,Waitakere,141.0
2021-01,AucklandCity,519.0
2021-01,Franklin,77.0
2021-01,Manukau,201.0
2021-01,NorthShore,281.0
2021-01,Papakura,92.0
2021-01,Rodney,67.0
2021-01,Waitakere,166.0
2021-02,AucklandCity,278.0
2021-02,Franklin,108.0
2021-02,Manukau,284.0
2021-02,NorthShore,209.0
2021-02,Papakura,110.0
2021-02,Rodney,80.0
2021-02,Waitakere,104.0
2021-03,AucklandCity,390.0
2021-03,Franklin,116.0
2021-03,Manukau,344.0
2021-03,NorthShore,384.0
2021-03,Papakura,125.0
2021-03,Rodney,76.0
2021-03,Waitakere,181.0
2021-04,AucklandCity,307.0
2021-04,Franklin,96.0
2021-04,Manukau,309.0
2021-04,NorthShore,528.0
2021-04,Papakura,79.0
2021-04,Rodney,112.0
2021-04,Waitakere,185.0
