Month,AucklandCity_consents
2018-01,193.0
2018-02,193.0
2018-03,273.0
2018-04,226.0
2018-05,692.0
2018-06,291.0
2018-07,358.0
2018-08,293.0
2018-09,237.0
2018-10,222.0
2018-11,322.0
2018-12,388.0
2019-01,475.0
2019-02,428.0
2019-03,246.0
2019-04,331.0
2019-05,406.0
2019-06,400.0
2019-07,605.0
2019-08,437.0
2019-09,304.0
2019-10,300.0
2019-11,245.0
2019-12,427.0
2020-01,147.0
2020-02,240.0
2020-03,288.0
2020-04,151.0
2020-05,516.0
2020-06,275.0
2020-07,305.0
2020-08,244.0
2020-09,458.0
2020-10,352.0
2020-11,538.0
2020-12,489.0
2021-01,519.0
2021-02,278.0
2021-03,390.0
2021-04,307.0
2021-05,386.0
2021-06,318.0
2021-07,490.0
2021-08,518.0
2021-09,542.0
2021-10,402.0
2021-11,659.0
2021-12,470.0
2022-01,368.0
2022-02,384.0
2022-03,867.0
2022-04,279.0
2022-05,381.0
2022-06,401.0
2022-07,339.0
2022-08,568.0
2022-09,838.0
2022-10,416.0
2022-11,462.0
2022-12,385.0
2023-01,145.0
2023-02,258.0
2023-03,460.0
2023-04,326.0
2023-05,291.0
2023-06,405.0
2023-07,295.0
2023-08,340.0
2023-09,235.0
2023-10,315.0
2023-11,229.0
2023-12,177.0
2024-01,196.0
2024-02,157.0
2024-03,272.0
2024-04,253.0
2024-05,287.0
2024-06,174.0
2024-07,337.0
2024-08,163.0
2024-09,385.0
2024-10,221.0
2024-11,317.0
2024-12,463.0
2025-01,205.0
2025-02,222.0
2025-03,506.0
2025-04,255.0
2025-05,351.0
2025-06,255.0
2025-07,321.0
2025-08,487.0
2025-09,492.0
