Month,Franklin
2018-01,41.0
2018-02,37.0
2018-03,50.0
2018-04,72.0
2018-05,76.0
2018-06,74.0
2018-07,81.0
2018-08,54.0
2018-09,43.0
2018-10,69.0
2018-11,53.0
2018-12,58.0
2019-01,62.0
2019-02,101.0
2019-03,72.0
2019-04,60.0
2019-05,66.0
2019-06,56.0
2019-07,63.0
2019-08,83.0
2019-09,47.0
2019-10,65.0
2019-11,58.0
2019-12,62.0
2020-01,119.0
2020-02,54.0
2020-03,65.0
2020-04,70.0
2020-05,85.0
2020-06,109.0
2020-07,67.0
2020-08,95.0
2020-09,71.0
2020-10,76.0
2020-11,91.0
2020-12,71.0
2021-01,77.0
2021-02,108.0
2021-03,116.0
2021-04,96.0
2021-05,143.0
2021-06,135.0
2021-07,193.0
2021-08,140.0
2021-09,83.0
2021-10,92.0
2021-11,106.0
2021-12,83.0
2022-01,50.0
2022-02,65.0
2022-03,74.0
2022-04,88.0
2022-05,139.0
2022-06,79.0
2022-07,146.0
2022-08,129.0
2022-09,119.0
2022-10,108.0
2022-11,88.0
2022-12,60.0
2023-01,51.0
2023-02,73.0
2023-03,78.0
2023-04,59.0
2023-05,95.0
2023-06,77.0
2023-07,39.0
2023-08,32.0
2023-09,48.0
2023-10,33.0
2023-11,87.0
2023-12,44.0
2024-01,50.0
2024-02,69.0
2024-03,92.0
2024-04,134.0
2024-05,125.0
2024-06,66.0
2024-07,143.0
2024-08,117.0
2024-09,146.0
2024-10,66.0
2024-11,45.0
2024-12,37.0
2025-01,59.0
2025-02,113.0
2025-03,134.0
2025-04,77.0
2025-05,122.0
2025-06,112.0
2025-07,101.0
2025-08,74.0
2025-09,122.0
