Month,NorthShore_consents
2018-01,208.0
2018-02,226.0
2018-03,238.0
2018-04,442.0
2018-05,320.0
2018-06,234.0
2018-07,248.0
2018-08,443.0
2018-09,245.0
2018-10,242.0
2018-11,272.0
2018-12,179.0
2019-01,156.0
2019-02,273.0
2019-03,389.0
2019-04,176.0
2019-05,290.0
2019-06,264.0
2019-07,262.0
2019-08,321.0
2019-09,244.0
2019-10,322.0
2019-11,151.0
2019-12,223.0
2020-01,188.0
2020-02,247.0
2020-03,271.0
2020-04,168.0
2020-05,196.0
2020-06,378.0
2020-07,315.0
2020-08,382.0
2020-09,423.0
2020-10,339.0
2020-11,210.0
2020-12,177.0
2021-01,281.0
2021-02,209.0
2021-03,384.0
2021-04,528.0
2021-05,317.0
2021-06,549.0
2021-07,361.0
2021-08,380.0
2021-09,319.0
2021-10,329.0
2021-11,540.0
2021-12,378.0
2022-01,120.0
2022-02,230.0
2022-03,234.0
2022-04,345.0
2022-05,294.0
2022-06,377.0
2022-07,300.0
2022-08,370.0
2022-09,225.0
2022-10,145.0
2022-11,334.0
2022-12,140.0
2023-01,312.0
2023-02,311.0
2023-03,258.0
2023-04,199.0
2023-05,178.0
2023-06,219.0
2023-07,300.0
2023-08,148.0
2023-09,251.0
2023-10,210.0
2023-11,148.0
2023-12,146.0
2024-01,160.0
2024-02,210.0
2024-03,241.0
2024-04,242.0
2024-05,296.0
2024-06,104.0
2024-07,163.0
2024-08,238.0
2024-09,130.0
2024-10,174.0
2024-11,280.0
2024-12,127.0
2025-01,168.0
2025-02,163.0
2025-03,305.0
2025-04,167.0
2025-05,286.0
2025-06,223.0
2025-07,259.0
2025-08,218.0
2025-09,241.0
