Month,Papakura
2018-01,68.0
2018-02,44.0
2018-03,60.0
2018-04,82.0
2018-05,103.0
2018-06,49.0
2018-07,105.0
2018-08,97.0
2018-09,104.0
2018-10,110.0
2018-11,80.0
2018-12,36.0
2019-01,118.0
2019-02,133.0
2019-03,125.0
2019-04,149.0
2019-05,179.0
2019-06,114.0
2019-07,115.0
2019-08,88.0
2019-09,57.0
2019-10,112.0
2019-11,156.0
2019-12,82.0
2020-01,95.0
2020-02,127.0
2020-03,106.0
2020-04,133.0
2020-05,121.0
2020-06,111.0
2020-07,180.0
2020-08,114.0
2020-09,153.0
2020-10,123.0
2020-11,140.0
2020-12,165.0
2021-01,92.0
2021-02,110.0
2021-03,125.0
2021-04,79.0
2021-05,81.0
2021-06,113.0
2021-07,84.0
2021-08,159.0
2021-09,90.0
2021-10,86.0
2021-11,90.0
2021-12,100.0
2022-01,138.0
2022-02,136.0
2022-03,112.0
2022-04,164.0
2022-05,159.0
2022-06,167.0
2022-07,216.0
2022-08,114.0
2022-09,162.0
2022-10,126.0
2022-11,166.0
2022-12,69.0
2023-01,75.0
2023-02,146.0
2023-03,169.0
2023-04,183.0
2023-05,125.0
2023-06,121.0
2023-07,122.0
2023-08,101.0
2023-09,69.0
2023-10,81.0
2023-11,79.0
2023-12,60.0
2024-01,47.0
2024-02,138.0
2024-03,111.0
2024-04,70.0
2024-05,71.0
2024-06,61.0
2024-07,67.0
2024-08,84.0
2024-09,108.0
2024-10,82.0
2024-11,55.0
2024-12,32.0
2025-01,53.0
2025-02,61.0
2025-03,63.0
2025-04,58.0
2025-05,88.0
2025-06,70.0
2025-07,79.0
2025-08,80.0
2025-09,112.0
