Month,Rodney
2018-01,46.0
2018-02,57.0
2018-03,53.0
2018-04,45.0
2018-05,82.0
2018-06,67.0
2018-07,54.0
2018-08,87.0
2018-09,67.0
2018-10,86.0
2018-11,68.0
2018-12,59.0
2019-01,100.0
2019-02,59.0
2019-03,62.0
2019-04,76.0
2019-05,60.0
2019-06,61.0
2019-07,79.0
2019-08,71.0
2019-09,51.0
2019-10,88.0
2019-11,68.0
2019-12,45.0
2020-01,54.0
2020-02,87.0
2020-03,73.0
2020-04,107.0
2020-05,90.0
2020-06,83.0
2020-07,152.0
2020-08,97.0
2020-09,126.0
2020-10,120.0
2020-11,98.0
2020-12,76.0
2021-01,67.0
2021-02,80.0
2021-03,76.0
2021-04,112.0
2021-05,116.0
2021-06,124.0
2021-07,121.0
2021-08,162.0
2021-09,150.0
2021-10,161.0
2021-11,141.0
2021-12,109.0
2022-01,67.0
2022-02,126.0
2022-03,132.0
2022-04,112.0
2022-05,107.0
2022-06,111.0
2022-07,136.0
2022-08,100.0
2022-09,131.0
2022-10,112.0
2022-11,144.0
2022-12,63.0
2023-01,108.0
2023-02,129.0
2023-03,77.0
2023-04,39.0
2023-05,49.0
2023-06,83.0
2023-07,69.0
2023-08,75.0
2023-09,70.0
2023-10,58.0
2023-11,80.0
2023-12,58.0
2024-01,47.0
2024-02,169.0
2024-03,81.0
2024-04,82.0
2024-05,69.0
2024-06,47.0
2024-07,134.0
2024-08,91.0
2024-09,78.0
2024-10,96.0
2024-11,68.0
2024-12,38.0
2025-01,28.0
2025-02,61.0
2025-03,75.0
2025-04,42.0
2025-05,63.0
2025-06,51.0
2025-07,68.0
2025-08,107.0
2025-09,151.0
