Month,Waitakere_consents
2018-01,55.0
2018-02,49.0
2018-03,44.0
2018-04,73.0
2018-05,73.0
2018-06,79.0
2018-07,119.0
2018-08,59.0
2018-09,41.0
2018-10,156.0
2018-11,125.0
2018-12,55.0
2019-01,42.0
2019-02,72.0
2019-03,58.0
2019-04,72.0
2019-05,385.0
2019-06,72.0
2019-07,120.0
2019-08,84.0
2019-09,154.0
2019-10,286.0
2019-11,157.0
2019-12,155.0
2020-01,107.0
2020-02,134.0
2020-03,101.0
2020-04,90.0
2020-05,154.0
2020-06,191.0
2020-07,259.0
2020-08,217.0
2020-09,146.0
2020-10,196.0
2020-11,202.0
2020-12,141.0
2021-01,166.0
2021-02,104.0
2021-03,181.0
2021-04,185.0
2021-05,199.0
2021-06,279.0
2021-07,158.0
2021-08,312.0
2021-09,198.0
2021-10,166.0
2021-11,252.0
2021-12,209.0
2022-01,204.0
2022-02,286.0
2022-03,384.0
2022-04,253.0
2022-05,377.0
2022-06,312.0
2022-07,281.0
2022-08,206.0
2022-09,298.0
2022-10,377.0
2022-11,274.0
2022-12,168.0
2023-01,134.0
2023-02,102.0
2023-03,277.0
2023-04,190.0
2023-05,239.0
2023-06,194.0
2023-07,172.0
2023-08,202.0
2023-09,249.0
2023-10,216.0
2023-11,198.0
2023-12,124.0
2024-01,143.0
2024-02,185.0
2024-03,139.0
2024-04,251.0
2024-05,139.0
2024-06,80.0
2024-07,124.0
2024-08,126.0
2024-09,177.0
2024-10,213.0
2024-11,143.0
2024-12,70.0
2025-01,84.0
2025-02,115.0
2025-03,112.0
2025-04,92.0
2025-05,257.0
2025-06,212.0
2025-07,203.0
2025-08,104.0
2025-09,60.0
