Month,District,CGPI_Dwelling
2006-01,AucklandCity,470.45
2006-01,Franklin,470.45
2006-01,Manukau,470.45
2006-01,NorthShore,470.45
2006-01,Papakura,470.45
2006-01,Rodney,470.45
2006-01,Waitakere,470.45
2006-02,AucklandCity,472.65
2006-02,Franklin,472.65
2006-02,Manukau,472.65
2006-02,NorthShore,472.65
2006-02,Papakura,472.65
2006-02,Rodney,472.65
2006-02,Waitakere,472.65
2006-03,AucklandCity,474.85
2006-03,Franklin,474.85
2006-03,Manukau,474.85
2006-03,NorthShore,474.85
2006-03,Papakura,474.85
2006-03,Rodney,474.85
2006-03,Waitakere,474.85
2006-04,AucklandCity,477.05
2006-04,Franklin,477.05
2006-04,Manukau,477.05
2006-04,NorthShore,477.05
2006-04,Papakura,477.05
2006-04,Rodney,477.05
2006-04,Waitakere,477.05
2006-05,AucklandCity,479.82
2006-05,Franklin,479.82
2006-05,Manukau,479.82
2006-05,NorthShore,479.82
2006-05,Papakura,479.82
2006-05,Rodney,479.82
2006-05,Waitakere,479.82
2006-06,AucklandCity,482.58
2006-06,Franklin,482.58
2006-06,Manukau,482.58
2006-06,NorthShore,482.58
2006-06,Papakura,482.58
2006-06,Rodney,482.58
2006-06,Waitakere,482.58
2006-07,AucklandCity,485.35
2006-07,Franklin,485.35
2006-07,Manukau,485.35
2006-07,NorthShore,485.35
2006-07,Papakura,485.35
2006-07,Rodney,485.35
2006-07,Waitakere,485.35
2006-08,AucklandCity,486.95
2006-08,Franklin,486.95
2006-08,Manukau,486.95
2006-08,NorthShore,486.95
2006-08,Papakura,486.95
2006-08,Rodney,486.95
2006-08,Waitakere,486.95
2006-09,AucklandCity,488.56
2006-09,Franklin,488.56
2006-09,Manukau,488.56
2006-09,NorthShore,488.56
2006-09,Papakura,488.56
2006-09,Rodney,488.56
2006-09,Waitakere,488.56
2006-10,AucklandCity,490.16
2006-10,Franklin,490.16
2006-10,Manukau,490.16
2006-10,NorthShore,490.16
2006-10,Papakura,490.16
2006-10,Rodney,490.16
2006-10,Waitakere,490.16
2006-11,AucklandCity,491.59
2006-11,Franklin,491.59
2006-11,Manukau,491.59
2006-11,NorthShore,491.59
2006-11,Papakura,491.59
2006-11,Rodney,491.59
2006-11,Waitakere,491.59
2006-12,AucklandCity,493.01
2006-12,Franklin,493.01
2006-12,Manukau,493.01
2006-12,NorthShore,493.01
2006-12,Papakura,493.01
2006-12,Rodney,493.01
2006-12,Waitakere,493.01
2007-01,AucklandCity,494.44
2007-01,Franklin,494.44
2007-01,Manukau,494.44
2007-01,NorthShore,494.44
2007-01,Papakura,494.44
2007-01,Rodney,494.44
2007-01,Waitakere,494.44
2007-02,AucklandCity,496.51
2007-02,Franklin,496.51
2007-02,Manukau,496.51
2007-02,NorthShore,496.51
2007-02,Papakura,496.51
2007-02,Rodney,496.51
2007-02,Waitakere,496.51
2007-03,AucklandCity,498.58
2007-03,Franklin,498.58
2007-03,Manukau,498.58
2007-03,NorthShore,498.58
2007-03,Papakura,498.58
2007-03,Rodney,498.58
2007-03,Waitakere,498.58
2007-04,AucklandCity,500.65
2007-04,Franklin,500.65
2007-04,Manukau,500.65
2007-04,NorthShore,500.65
2007-04,Papakura,500.65
2007-04,Rodney,500.65
2007-04,Waitakere,500.65
2007-05,AucklandCity,503.09
2007-05,Franklin,503.09
2007-05,Manukau,503.09
2007-05,NorthShore,503.09
2007-05,Papakura,503.09
2007-05,Rodney,503.09
2007-05,Waitakere,503.09
2007-06,AucklandCity,505.53
2007-06,Franklin,505.53
2007-06,Manukau,505.53
2007-06,NorthShore,505.53
2007-06,Papakura,505.53
2007-06,Rodney,505.53
2007-06,Waitakere,505.53
2007-07,AucklandCity,507.97
2007-07,Franklin,507.97
2007-07,Manukau,507.97
2007-07,NorthShore,507.97
2007-07,Papakura,507.97
2007-07,Rodney,507.97
2007-07,Waitakere,507.97
2007-08,AucklandCity,509.94
2007-08,Franklin,509.94
2007-08,Manukau,509.94
2007-08,NorthShore,509.94
2007-08,Papakura,509.94
2007-08,Rodney,509.94
2007-08,Waitakere,509.94
2007-09,AucklandCity,511.9
2007-09,Franklin,511.9
2007-09,Manukau,511.9
2007-09,NorthShore,511.9
2007-09,Papakura,511.9
2007-09,Rodney,511.9
2007-09,Waitakere,511.9
2007-10,AucklandCity,513.87
2007-10,Franklin,513.87
2007-10,Manukau,513.87
2007-10,NorthShore,513.87
2007-10,Papakura,513.87
2007-10,Rodney,513.87
2007-10,Waitakere,513.87
2007-11,AucklandCity,515.4
2007-11,Franklin,515.4
2007-11,Manukau,515.4
2007-11,NorthShore,515.4
2007-11,Papakura,515.4
2007-11,Rodney,515.4
2007-11,Waitakere,515.4
2007-12,AucklandCity,516.93
2007-12,Franklin,516.93
2007-12,Manukau,516.93
2007-12,NorthShore,516.93
2007-12,Papakura,516.93
2007-12,Rodney,516.93
2007-12,Waitakere,516.93
2008-01,AucklandCity,518.46
2008-01,Franklin,518.46
2008-01,Manukau,518.46
2008-01,NorthShore,518.46
2008-01,Papakura,518.46
2008-01,Rodney,518.46
2008-01,Waitakere,518.46
2008-02,AucklandCity,519.86
2008-02,Franklin,519.86
2008-02,Manukau,519.86
2008-02,NorthShore,519.86
2008-02,Papakura,519.86
2008-02,Rodney,519.86
2008-02,Waitakere,519.86
2008-03,AucklandCity,521.26
2008-03,Franklin,521.26
2008-03,Manukau,521.26
2008-03,NorthShore,521.26
2008-03,Papakura,521.26
2008-03,Rodney,521.26
2008-03,Waitakere,521.26
2008-04,AucklandCity,522.66
2008-04,Franklin,522.66
2008-04,Manukau,522.66
2008-04,NorthShore,522.66
2008-04,Papakura,522.66
2008-04,Rodney,522.66
2008-04,Waitakere,522.66
2008-05,AucklandCity,524.99
2008-05,Franklin,524.99
2008-05,Manukau,524.99
2008-05,NorthShore,524.99
2008-05,Papakura,524.99
2008-05,Rodney,524.99
2008-05,Waitakere,524.99
2008-06,AucklandCity,527.32
2008-06,Franklin,527.32
2008-06,Manukau,527.32
2008-06,NorthShore,527.32
2008-06,Papakura,527.32
2008-06,Rodney,527.32
2008-06,Waitakere,527.32
2008-07,AucklandCity,529.65
2008-07,Franklin,529.65
2008-07,Manukau,529.65
2008-07,NorthShore,529.65
2008-07,Papakura,529.65
2008-07,Rodney,529.65
2008-07,Waitakere,529.65
2008-08,AucklandCity,529.23
2008-08,Franklin,529.23
2008-08,Manukau,529.23
2008-08,NorthShore,529.23
2008-08,Papakura,529.23
2008-08,Rodney,529.23
2008-08,Waitakere,529.23
2008-09,AucklandCity,528.82
2008-09,Franklin,528.82
2008-09,Manukau,528.82
2008-09,NorthShore,528.82
2008-09,Papakura,528.82
2008-09,Rodney,528.82
2008-09,Waitakere,528.82
2008-10,AucklandCity,528.4
2008-10,Franklin,528.4
2008-10,Manukau,528.4
2008-10,NorthShore,528.4
2008-10,Papakura,528.4
2008-10,Rodney,528.4
2008-10,Waitakere,528.4
2008-11,AucklandCity,528.18
2008-11,Franklin,528.18
2008-11,Manukau,528.18
2008-11,NorthShore,528.18
2008-11,Papakura,528.18
2008-11,Rodney,528.18
2008-11,Waitakere,528.18
2008-12,AucklandCity,527.96
2008-12,Franklin,527.96
2008-12,Manukau,527.96
2008-12,NorthShore,527.96
2008-12,Papakura,527.96
2008-12,Rodney,527.96
2008-12,Waitakere,527.96
2009-01,AucklandCity,527.74
2009-01,Franklin,527.74
2009-01,Manukau,527.74
2009-01,NorthShore,527.74
2009-01,Papakura,527.74
2009-01,Rodney,527.74
2009-01,Waitakere,527.74
2009-02,AucklandCity,527.26
2009-02,Franklin,527.26
2009-02,Manukau,527.26
2009-02,NorthShore,527.26
2009-02,Papakura,527.26
2009-02,Rodney,527.26
2009-02,Waitakere,527.26
2009-03,AucklandCity,526.79
2009-03,Franklin,526.79
2009-03,Manukau,526.79
2009-03,NorthShore,526.79
2009-03,Papakura,526.79
2009-03,Rodney,526.79
2009-03,Waitakere,526.79
2009-04,AucklandCity,526.31
2009-04,Franklin,526.31
2009-04,Manukau,526.31
2009-04,NorthShore,526.31
2009-04,Papakura,526.31
2009-04,Rodney,526.31
2009-04,Waitakere,526.31
2009-05,AucklandCity,525.63
2009-05,Franklin,525.63
2009-05,Manukau,525.63
2009-05,NorthShore,525.63
2009-05,Papakura,525.63
2009-05,Rodney,525.63
2009-05,Waitakere,525.63
2009-06,AucklandCity,524.96
2009-06,Franklin,524.96
2009-06,Manukau,524.96
2009-06,NorthShore,524.96
2009-06,Papakura,524.96
2009-06,Rodney,524.96
2009-06,Waitakere,524.96
2009-07,AucklandCity,524.28
2009-07,Franklin,524.28
2009-07,Manukau,524.28
2009-07,NorthShore,524.28
2009-07,Papakura,524.28
2009-07,Rodney,524.28
2009-07,Waitakere,524.28
2009-08,AucklandCity,524.32
2009-08,Franklin,524.32
2009-08,Manukau,524.32
2009-08,NorthShore,524.32
2009-08,Papakura,524.32
2009-08,Rodney,524.32
2009-08,Waitakere,524.32
2009-09,AucklandCity,524.36
2009-09,Franklin,524.36
2009-09,Manukau,524.36
2009-09,NorthShore,524.36
2009-09,Papakura,524.36
2009-09,Rodney,524.36
2009-09,Waitakere,524.36
2009-10,AucklandCity,524.4
2009-10,Franklin,524.4
2009-10,Manukau,524.4
2009-10,NorthShore,524.4
2009-10,Papakura,524.4
2009-10,Rodney,524.4
2009-10,Waitakere,524.4
2009-11,AucklandCity,524.59
2009-11,Franklin,524.59
2009-11,Manukau,524.59
2009-11,NorthShore,524.59
2009-11,Papakura,524.59
2009-11,Rodney,524.59
2009-11,Waitakere,524.59
2009-12,AucklandCity,524.78
2009-12,Franklin,524.78
2009-12,Manukau,524.78
2009-12,NorthShore,524.78
2009-12,Papakura,524.78
2009-12,Rodney,524.78
2009-12,Waitakere,524.78
2010-01,AucklandCity,524.97
2010-01,Franklin,524.97
2010-01,Manukau,524.97
2010-01,NorthShore,524.97
2010-01,Papakura,524.97
2010-01,Rodney,524.97
2010-01,Waitakere,524.97
2010-02,AucklandCity,525.54
2010-02,Franklin,525.54
2010-02,Manukau,525.54
2010-02,NorthShore,525.54
2010-02,Papakura,525.54
2010-02,Rodney,525.54
2010-02,Waitakere,525.54
2010-03,AucklandCity,526.12
2010-03,Franklin,526.12
2010-03,Manukau,526.12
2010-03,NorthShore,526.12
2010-03,Papakura,526.12
2010-03,Rodney,526.12
2010-03,Waitakere,526.12
2010-04,AucklandCity,526.69
2010-04,Franklin,526.69
2010-04,Manukau,526.69
2010-04,NorthShore,526.69
2010-04,Papakura,526.69
2010-04,Rodney,526.69
2010-04,Waitakere,526.69
2010-05,AucklandCity,527.38
2010-05,Franklin,527.38
2010-05,Manukau,527.38
2010-05,NorthShore,527.38
2010-05,Papakura,527.38
2010-05,Rodney,527.38
2010-05,Waitakere,527.38
2010-06,AucklandCity,528.07
2010-06,Franklin,528.07
2010-06,Manukau,528.07
2010-06,NorthShore,528.07
2010-06,Papakura,528.07
2010-06,Rodney,528.07
2010-06,Waitakere,528.07
2010-07,AucklandCity,528.76
2010-07,Franklin,528.76
2010-07,Manukau,528.76
2010-07,NorthShore,528.76
2010-07,Papakura,528.76
2010-07,Rodney,528.76
2010-07,Waitakere,528.76
2010-08,AucklandCity,531.38
2010-08,Franklin,531.38
2010-08,Manukau,531.38
2010-08,NorthShore,531.38
2010-08,Papakura,531.38
2010-08,Rodney,531.38
2010-08,Waitakere,531.38
2010-09,AucklandCity,534.0
2010-09,Franklin,534.0
2010-09,Manukau,534.0
2010-09,NorthShore,534.0
2010-09,Papakura,534.0
2010-09,Rodney,534.0
2010-09,Waitakere,534.0
2010-10,AucklandCity,536.62
2010-10,Franklin,536.62
2010-10,Manukau,536.62
2010-10,NorthShore,536.62
2010-10,Papakura,536.62
2010-10,Rodney,536.62
2010-10,Waitakere,536.62
2010-11,AucklandCity,536.58
2010-11,Franklin,536.58
2010-11,Manukau,536.58
2010-11,NorthShore,536.58
2010-11,Papakura,536.58
2010-11,Rodney,536.58
2010-11,Waitakere,536.58
2010-12,AucklandCity,536.55
2010-12,Franklin,536.55
2010-12,Manukau,536.55
2010-12,NorthShore,536.55
2010-12,Papakura,536.55
2010-12,Rodney,536.55
2010-12,Waitakere,536.55
2011-01,AucklandCity,536.51
2011-01,Franklin,536.51
2011-01,Manukau,536.51
2011-01,NorthShore,536.51
2011-01,Papakura,536.51
2011-01,Rodney,536.51
2011-01,Waitakere,536.51
2011-02,AucklandCity,538.16
2011-02,Franklin,538.16
2011-02,Manukau,538.16
2011-02,NorthShore,538.16
