Month,District,CPI
2006-01,AucklandCity,803.45
2006-01,Franklin,803.45
2006-01,Manukau,803.45
2006-01,NorthShore,803.45
2006-01,Papakura,803.45
2006-01,Rodney,803.45
2006-01,Waitakere,803.45
2006-02,AucklandCity,807.52
2006-02,Franklin,807.52
2006-02,Manukau,807.52
2006-02,NorthShore,807.52
2006-02,Papakura,807.52
2006-02,Rodney,807.52
2006-02,Waitakere,807.52
2006-03,AucklandCity,811.59
2006-03,Franklin,811.59
2006-03,Manukau,811.59
2006-03,NorthShore,811.59
2006-03,Papakura,811.59
2006-03,Rodney,811.59
2006-03,Waitakere,811.59
2006-04,AucklandCity,815.66
2006-04,Franklin,815.66
2006-04,Manukau,815.66
2006-04,NorthShore,815.66
2006-04,Papakura,815.66
2006-04,Rodney,815.66
2006-04,Waitakere,815.66
2006-05,AucklandCity,817.56
2006-05,Franklin,817.56
2006-05,Manukau,817.56
2006-05,NorthShore,817.56
2006-05,Papakura,817.56
2006-05,Rodney,817.56
2006-05,Waitakere,817.56
2006-06,AucklandCity,819.47
2006-06,Franklin,819.47
2006-06,Manukau,819.47
2006-06,NorthShore,819.47
2006-06,Papakura,819.47
2006-06,Rodney,819.47
2006-06,Waitakere,819.47
2006-07,AucklandCity,821.37
2006-07,Franklin,821.37
2006-07,Manukau,821.37
2006-07,NorthShore,821.37
2006-07,Papakura,821.37
2006-07,Rodney,821.37
2006-07,Waitakere,821.37
2006-08,AucklandCity,820.83
2006-08,Franklin,820.83
2006-08,Manukau,820.83
2006-08,NorthShore,820.83
2006-08,Papakura,820.83
2006-08,Rodney,820.83
2006-08,Waitakere,820.83
2006-09,AucklandCity,820.28
2006-09,Franklin,820.28
2006-09,Manukau,820.28
2006-09,NorthShore,820.28
2006-09,Papakura,820.28
2006-09,Rodney,820.28
2006-09,Waitakere,820.28
2006-10,AucklandCity,819.74
2006-10,Franklin,819.74
2006-10,Manukau,819.74
2006-10,NorthShore,819.74
2006-10,Papakura,819.74
2006-10,Rodney,819.74
2006-10,Waitakere,819.74
