Month,District,2YearFixedRate
2006-01,AucklandCity,8.13
2006-01,Franklin,8.13
2006-01,Manukau,8.13
2006-01,NorthShore,8.13
2006-01,Papakura,8.13
2006-01,Rodney,8.13
2006-01,Waitakere,8.13
2006-02,AucklandCity,7.97
2006-02,Franklin,7.97
2006-02,Manukau,7.97
2006-02,NorthShore,7.97
2006-02,Papakura,7.97
2006-02,Rodney,7.97
2006-02,Waitakere,7.97
2006-03,AucklandCity,7.84
2006-03,Franklin,7.84
2006-03,Manukau,7.84
2006-03,NorthShore,7.84
2006-03,Papakura,7.84
2006-03,Rodney,7.84
2006-03,Waitakere,7.84
2006-04,AucklandCity,7.75
2006-04,Franklin,7.75
2006-04,Manukau,7.75
2006-04,NorthShore,7.75
2006-04,Papakura,7.75
2006-04,Rodney,7.75
2006-04,Waitakere,7.75
2006-05,AucklandCity,7.92
2006-05,Franklin,7.92
2006-05,Manukau,7.92
2006-05,NorthShore,7.92
2006-05,Papakura,7.92
2006-05,Rodney,7.92
2006-05,Waitakere,7.92
2006-06,AucklandCity,7.97
2006-06,Franklin,7.97
2006-06,Manukau,7.97
2006-06,NorthShore,7.97
2006-06,Papakura,7.97
2006-06,Rodney,7.97
2006-06,Waitakere,7.97
2006-07,AucklandCity,8.21
2006-07,Franklin,8.21
2006-07,Manukau,8.21
2006-07,NorthShore,8.21
2006-07,Papakura,8.21
2006-07,Rodney,8.21
2006-07,Waitakere,8.21
2006-08,AucklandCity,8.13
2006-08,Franklin,8.13
2006-08,Manukau,8.13
2006-08,NorthShore,8.13
2006-08,Papakura,8.13
2006-08,Rodney,8.13
2006-08,Waitakere,8.13
2006-09,AucklandCity,8.03
2006-09,Franklin,8.03
2006-09,Manukau,8.03
2006-09,NorthShore,8.03
2006-09,Papakura,8.03
2006-09,Rodney,8.03
2006-09,Waitakere,8.03
2006-10,AucklandCity,8.06
2006-10,Franklin,8.06
2006-10,Manukau,8.06
2006-10,NorthShore,8.06
2006-10,Papakura,8.06
2006-10,Rodney,8.06
2006-10,Waitakere,8.06
2006-11,AucklandCity,8.08
2006-11,Franklin,8.08
2006-11,Manukau,8.08
2006-11,NorthShore,8.08
2006-11,Papakura,8.08
2006-11,Rodney,8.08
2006-11,Waitakere,8.08
2006-12,AucklandCity,8.18
2006-12,Franklin,8.18
2006-12,Manukau,8.18
2006-12,NorthShore,8.18
2006-12,Papakura,8.18
2006-12,Rodney,8.18
2006-12,Waitakere,8.18
2007-01,AucklandCity,8.23
2007-01,Franklin,8.23
2007-01,Manukau,8.23
2007-01,NorthShore,8.23
2007-01,Papakura,8.23
2007-01,Rodney,8.23
2007-01,Waitakere,8.23
2007-02,AucklandCity,8.38
2007-02,Franklin,8.38
2007-02,Manukau,8.38
2007-02,NorthShore,8.38
2007-02,Papakura,8.38
2007-02,Rodney,8.38
2007-02,Waitakere,8.38
2007-03,AucklandCity,8.71
2007-03,Franklin,8.71
2007-03,Manukau,8.71
2007-03,NorthShore,8.71
2007-03,Papakura,8.71
2007-03,Rodney,8.71
2007-03,Waitakere,8.71
2007-04,AucklandCity,8.83
2007-04,Franklin,8.83
