Month,District,Net_migration_monthly
2018-01,AucklandCity,866.67
2018-01,Franklin,116.67
2018-01,Manukau,225.0
2018-01,NorthShore,558.33
2018-01,Papakura,125.0
2018-01,Rodney,166.67
2018-01,Waitakere,66.67
2018-02,AucklandCity,866.67
2018-02,Franklin,116.67
2018-02,Manukau,225.0
2018-02,NorthShore,558.33
2018-02,Papakura,125.0
2018-02,Rodney,166.67
2018-02,Waitakere,66.67
2018-03,AucklandCity,866.67
2018-03,Franklin,116.67
2018-03,Manukau,225.0
2018-03,NorthShore,558.33
2018-03,Papakura,125.0
2018-03,Rodney,166.67
2018-03,Waitakere,66.67
2018-04,AucklandCity,866.67
2018-04,Franklin,116.67
2018-04,Manukau,225.0
2018-04,NorthShore,558.33
2018-04,Papakura,125.0
2018-04,Rodney,166.67
2018-04,Waitakere,66.67
2018-05,AucklandCity,866.67
2018-05,Franklin,116.67
2018-05,Manukau,225.0
2018-05,NorthShore,558.33
2018-05,Papakura,125.0
2018-05,Rodney,166.67
2018-05,Waitakere,66.67
2018-06,AucklandCity,866.67
2018-06,Franklin,116.67
2018-06,Manukau,225.0
2018-06,NorthShore,558.33
2018-06,Papakura,125.0
2018-06,Rodney,166.67
2018-06,Waitakere,66.67
2018-07,AucklandCity,866.67
2018-07,Franklin,116.67
2018-07,Manukau,225.0
2018-07,NorthShore,558.33
2018-07,Papakura,125.0
2018-07,Rodney,166.67
2018-07,Waitakere,66.67
2018-08,AucklandCity,866.67
2018-08,Franklin,116.67
2018-08,Manukau,225.0
2018-08,NorthShore,558.33
2018-08,Papakura,125.0
2018-08,Rodney,166.67
2018-08,Waitakere,66.67
2018-09,AucklandCity,866.67
2018-09,Franklin,116.67
2018-09,Manukau,225.0
2018-09,NorthShore,558.33
2018-09,Papakura,125.0
2018-09,Rodney,166.67
2018-09,Waitakere,66.67
2018-10,AucklandCity,866.67
2018-10,Franklin,116.67
2018-10,Manukau,225.0
2018-10,NorthShore,558.33
2018-10,Papakura,125.0
2018-10,Rodney,166.67
2018-10,Waitakere,66.67
2018-11,AucklandCity,866.67
2018-11,Franklin,116.67
2018-11,Manukau,225.0
2018-11,NorthShore,558.33
2018-11,Papakura,125.0
2018-11,Rodney,166.67
2018-11,Waitakere,66.67
2018-12,AucklandCity,866.67
2018-12,Franklin,116.67
2018-12,Manukau,225.0
2018-12,NorthShore,558.33
2018-12,Papakura,125.0
2018-12,Rodney,166.67
2018-12,Waitakere,66.67
2019-01,AucklandCity,218.33
2019-01,Franklin,100.0
2019-01,Manukau,245.0
2019-01,NorthShore,238.33
2019-01,Papakura,133.33
2019-01,Rodney,141.67
2019-01,Waitakere,46.67
2019-02,AucklandCity,218.33
2019-02,Franklin,100.0
2019-02,Manukau,245.0
2019-02,NorthShore,238.33
2019-02,Papakura,133.33
2019-02,Rodney,141.67
2019-02,Waitakere,46.67
2019-03,AucklandCity,218.33
2019-03,Franklin,100.0
2019-03,Manukau,245.0
2019-03,NorthShore,238.33
2019-03,Papakura,133.33
2019-03,Rodney,141.67
2019-03,Waitakere,46.67
2019-04,AucklandCity,218.33
2019-04,Franklin,100.0
2019-04,Manukau,245.0
2019-04,NorthShore,238.33
2019-04,Papakura,133.33
2019-04,Rodney,141.67
2019-04,Waitakere,46.67
2019-05,AucklandCity,218.33
2019-05,Franklin,100.0
2019-05,Manukau,245.0
2019-05,NorthShore,238.33
2019-05,Papakura,133.33
2019-05,Rodney,141.67
2019-05,Waitakere,46.67
2019-06,AucklandCity,218.33
2019-06,Franklin,100.0
2019-06,Manukau,245.0
2019-06,NorthShore,238.33
2019-06,Papakura,133.33
2019-06,Rodney,141.67
2019-06,Waitakere,46.67
2019-07,AucklandCity,218.33
2019-07,Franklin,100.0
2019-07,Manukau,245.0
2019-07,NorthShore,238.33
2019-07,Papakura,133.33
2019-07,Rodney,141.67
2019-07,Waitakere,46.67
2019-08,AucklandCity,218.33
2019-08,Franklin,100.0
2019-08,Manukau,245.0
2019-08,NorthShore,238.33
2019-08,Papakura,133.33
2019-08,Rodney,141.67
2019-08,Waitakere,46.67
2019-09,AucklandCity,218.33
2019-09,Franklin,100.0
2019-09,Manukau,245.0
2019-09,NorthShore,238.33
2019-09,Papakura,133.33
2019-09,Rodney,141.67
2019-09,Waitakere,46.67
2019-10,AucklandCity,218.33
2019-10,Franklin,100.0
2019-10,Manukau,245.0
2019-10,NorthShore,238.33
2019-10,Papakura,133.33
2019-10,Rodney,141.67
2019-10,Waitakere,46.67
2019-11,AucklandCity,218.33
2019-11,Franklin,100.0
2019-11,Manukau,245.0
2019-11,NorthShore,238.33
2019-11,Papakura,133.33
2019-11,Rodney,141.67
2019-11,Waitakere,46.67
2019-12,AucklandCity,218.33
2019-12,Franklin,100.0
2019-12,Manukau,245.0
2019-12,NorthShore,238.33
2019-12,Papakura,133.33
2019-12,Rodney,141.67
2019-12,Waitakere,46.67
2020-01,AucklandCity,383.33
2020-01,Franklin,133.33
2020-01,Manukau,465.83
2020-01,NorthShore,301.67
2020-01,Papakura,216.67
2020-01,Rodney,233.33
2020-01,Waitakere,135.0
2020-02,AucklandCity,383.33
2020-02,Franklin,133.33
2020-02,Manukau,465.83
2020-02,NorthShore,301.67
2020-02,Papakura,216.67
2020-02,Rodney,233.33
2020-02,Waitakere,135.0
2020-03,AucklandCity,383.33
2020-03,Franklin,133.33
2020-03,Manukau,465.83
2020-03,NorthShore,301.67
2020-03,Papakura,216.67
2020-03,Rodney,233.33
2020-03,Waitakere,135.0
2020-04,AucklandCity,383.33
2020-04,Franklin,133.33
2020-04,Manukau,465.83
2020-04,NorthShore,301.67
2020-04,Papakura,216.67
2020-04,Rodney,233.33
2020-04,Waitakere,135.0
2020-05,AucklandCity,383.33
2020-05,Franklin,133.33
2020-05,Manukau,465.83
2020-05,NorthShore,301.67
2020-05,Papakura,216.67
2020-05,Rodney,233.33
2020-05,Waitakere,135.0
2020-06,AucklandCity,383.33
2020-06,Franklin,133.33
2020-06,Manukau,465.83
2020-06,NorthShore,301.67
2020-06,Papakura,216.67
2020-06,Rodney,233.33
2020-06,Waitakere,135.0
2020-07,AucklandCity,383.33
2020-07,Franklin,133.33
2020-07,Manukau,465.83
2020-07,NorthShore,301.67
2020-07,Papakura,216.67
2020-07,Rodney,233.33
2020-07,Waitakere,135.0
2020-08,AucklandCity,383.33
2020-08,Franklin,133.33
2020-08,Manukau,465.83
2020-08,NorthShore,301.67
2020-08,Papakura,216.67
2020-08,Rodney,233.33
2020-08,Waitakere,135.0
2020-09,AucklandCity,383.33
2020-09,Franklin,133.33
2020-09,Manukau,465.83
2020-09,NorthShore,301.67
2020-09,Papakura,216.67
2020-09,Rodney,233.33
2020-09,Waitakere,135.0
2020-10,AucklandCity,383.33
2020-10,Franklin,133.33
2020-10,Manukau,465.83
2020-10,NorthShore,301.67
2020-10,Papakura,216.67
2020-10,Rodney,233.33
2020-10,Waitakere,135.0
2020-11,AucklandCity,383.33
2020-11,Franklin,133.33
2020-11,Manukau,465.83
2020-11,NorthShore,301.67
2020-11,Papakura,216.67
2020-11,Rodney,233.33
2020-11,Waitakere,135.0
2020-12,AucklandCity,383.33
2020-12,Franklin,133.33
2020-12,Manukau,465.83
2020-12,NorthShore,301.67
2020-12,Papakura,216.67
2020-12,Rodney,233.33
2020-12,Waitakere,135.0
2021-01,AucklandCity,-949.17
2021-01,Franklin,77.5
2021-01,Manukau,-231.67
2021-01,NorthShore,-261.67
2021-01,Papakura,125.0
2021-01,Rodney,141.67
2021-01,Waitakere,-83.33
2021-02,AucklandCity,-949.17
2021-02,Franklin,77.5
2021-02,Manukau,-231.67
2021-02,NorthShore,-261.67
2021-02,Papakura,125.0
2021-02,Rodney,141.67
2021-02,Waitakere,-83.33
2021-03,AucklandCity,-949.17
2021-03,Franklin,77.5
2021-03,Manukau,-231.67
2021-03,NorthShore,-261.67
