Month,District,OCR
2006-01,AucklandCity,7.25
2006-01,Franklin,7.25
2006-01,Manukau,7.25
2006-01,NorthShore,7.25
2006-01,Papakura,7.25
2006-01,Rodney,7.25
2006-01,Waitakere,7.25
2006-02,AucklandCity,7.25
2006-02,Franklin,7.25
2006-02,Manukau,7.25
2006-02,NorthShore,7.25
2006-02,Papakura,7.25
2006-02,Rodney,7.25
2006-02,Waitakere,7.25
2006-03,AucklandCity,7.25
2006-03,Franklin,7.25
2006-03,Manukau,7.25
2006-03,NorthShore,7.25
2006-03,Papakura,7.25
2006-03,Rodney,7.25
2006-03,Waitakere,7.25
2006-04,AucklandCity,7.25
2006-04,Franklin,7.25
2006-04,Manukau,7.25
2006-04,NorthShore,7.25
2006-04,Papakura,7.25
2006-04,Rodney,7.25
2006-04,Waitakere,7.25
2006-05,AucklandCity,7.25
2006-05,Franklin,7.25
2006-05,Manukau,7.25
2006-05,NorthShore,7.25
2006-05,Papakura,7.25
2006-05,Rodney,7.25
2006-05,Waitakere,7.25
2006-06,AucklandCity,7.25
2006-06,Franklin,7.25
2006-06,Manukau,7.25
2006-06,NorthShore,7.25
2006-06,Papakura,7.25
2006-06,Rodney,7.25
2006-06,Waitakere,7.25
2006-07,AucklandCity,7.25
2006-07,Franklin,7.25
2006-07,Manukau,7.25
2006-07,NorthShore,7.25
2006-07,Papakura,7.25
2006-07,Rodney,7.25
2006-07,Waitakere,7.25
2006-08,AucklandCity,7.25
2006-08,Franklin,7.25
2006-08,Manukau,7.25
2006-08,NorthShore,7.25
2006-08,Papakura,7.25
2006-08,Rodney,7.25
2006-08,Waitakere,7.25
2006-09,AucklandCity,7.25
2006-09,Franklin,7.25
2006-09,Manukau,7.25
2006-09,NorthShore,7.25
2006-09,Papakura,7.25
2006-09,Rodney,7.25
2006-09,Waitakere,7.25
2006-10,AucklandCity,7.25
2006-10,Franklin,7.25
2006-10,Manukau,7.25
2006-10,NorthShore,7.25
2006-10,Papakura,7.25
2006-10,Rodney,7.25
2006-10,Waitakere,7.25
2006-11,AucklandCity,7.25
2006-11,Franklin,7.25
2006-11,Manukau,7.25
2006-11,NorthShore,7.25
2006-11,Papakura,7.25
2006-11,Rodney,7.25
2006-11,Waitakere,7.25
2006-12,AucklandCity,7.25
2006-12,Franklin,7.25
2006-12,Manukau,7.25
2006-12,NorthShore,7.25
2006-12,Papakura,7.25
2006-12,Rodney,7.25
2006-12,Waitakere,7.25
2007-01,AucklandCity,7.25
2007-01,Franklin,7.25
2007-01,Manukau,7.25
2007-01,NorthShore,7.25
2007-01,Papakura,7.25
