Month,Area,sales_count
2018-08,AucklandRegion,1837
2018-09,AucklandRegion,1715
2018-10,AucklandRegion,2028
2018-12,AucklandRegion,1412
2019-01,AucklandRegion,1180
2019-02,AucklandRegion,1390
2019-03,AucklandRegion,2083
2019-04,AucklandRegion,1725
2019-05,AucklandRegion,2001
2019-06,AucklandRegion,1878
2019-07,AucklandRegion,1969
2019-08,AucklandRegion,1811
2019-09,AucklandRegion,1866
2019-10,AucklandRegion,2025
2019-11,AucklandRegion,2396
2019-12,AucklandRegion,1932
2020-01,AucklandRegion,1343
2020-02,AucklandRegion,2046
2020-03,AucklandRegion,2554
2020-04,AucklandRegion,538
2020-05,AucklandRegion,1172
2020-06,AucklandRegion,2054
2020-08,AucklandRegion,2689
2020-09,AucklandRegion,2996
2020-10,AucklandRegion,3234
2020-11,AucklandRegion,3857
2020-12,AucklandRegion,3525
2021-01,AucklandRegion,1951
2021-02,AucklandRegion,2912
2021-03,AucklandRegion,4013
2021-04,AucklandRegion,2682
2021-05,AucklandRegion,2856
2021-06,AucklandRegion,2853
2021-07,AucklandRegion,2767
2021-08,AucklandRegion,2418
2021-09,AucklandRegion,1410
2021-10,AucklandRegion,2688
2021-11,AucklandRegion,3182
2021-12,AucklandRegion,2415
2022-01,AucklandRegion,1346
2022-02,AucklandRegion,1789
2022-03,AucklandRegion,2412
2022-04,AucklandRegion,1634
2022-05,AucklandRegion,1872
2022-06,AucklandRegion,1709
2022-07,AucklandRegion,1485
2022-08,AucklandRegion,1539
2022-09,AucklandRegion,1700
2022-10,AucklandRegion,1632
2022-11,AucklandRegion,1847
2022-12,AucklandRegion,1372
2023-01,AucklandRegion,961
2023-02,AucklandRegion,1102
2023-03,AucklandRegion,1890
2023-04,AucklandRegion,1306
2023-05,AucklandRegion,1851
2023-06,AucklandRegion,1984
2023-07,AucklandRegion,1711
2023-08,AucklandRegion,1933
2023-09,AucklandRegion,2115
2023-10,AucklandRegion,1845
2023-11,AucklandRegion,2106
2023-12,AucklandRegion,1582
2024-01,AucklandRegion,894
2024-02,AucklandRegion,1828
2024-03,AucklandRegion,2152
2024-04,AucklandRegion,1848
2024-05,AucklandRegion,1986
2024-06,AucklandRegion,1506
2024-07,AucklandRegion,1908
2024-08,AucklandRegion,1985
2024-09,AucklandRegion,2039
2024-10,AucklandRegion,2272
2024-11,AucklandRegion,2332
2024-12,AucklandRegion,1809
2025-01,AucklandRegion,979
2025-02,AucklandRegion,1880
2025-03,AucklandRegion,2428
2025-04,AucklandRegion,2065
2025-05,AucklandRegion,2171
2025-06,AucklandRegion,1821
2025-07,AucklandRegion,2035
2025-08,AucklandRegion,1893
2025-09,AucklandRegion,2041
