Month,District,Median_Price
2018-08,AucklandCity,935000
2018-08,Franklin,669000
2018-08,Manukau,860000
2018-08,NorthShore,920000
2018-08,Papakura,676000
2018-08,Rodney,895000
2018-08,Waitakere,780000
2018-09,AucklandCity,950000
2018-09,Franklin,681000
2018-09,Manukau,865000
2018-09,NorthShore,995000
2018-09,Papakura,670000
2018-09,Rodney,857500
2018-09,Waitakere,715000
2018-10,AucklandCity,957000
2018-10,Franklin,638500
2018-10,Manukau,830000
2018-10,NorthShore,997000
2018-10,Papakura,675000
2018-10,Rodney,870000
2018-10,Waitakere,825000
2018-12,AucklandCity,955000
2018-12,Franklin,695000
2018-12,Manukau,832000
2018-12,NorthShore,980000
2018-12,Papakura,685000
2018-12,Rodney,870000
2018-12,Waitakere,825500
2019-01,AucklandCity,872500
2019-01,Franklin,650000
2019-01,Manukau,821000
2019-01,NorthShore,920000
2019-01,Papakura,650000
2019-01,Rodney,850000
2019-01,Waitakere,750000
2019-02,AucklandCity,980000
2019-02,Franklin,665000
2019-02,Manukau,832000
2019-02,NorthShore,988988
2019-02,Papakura,650000
2019-02,Rodney,885000
2019-02,Waitakere,776000
2019-03,AucklandCity,950000
2019-03,Franklin,694000
2019-03,Manukau,837000
2019-03,NorthShore,1020000
2019-03,Papakura,685500
2019-03,Rodney,850000
2019-03,Waitakere,772000
2019-04,AucklandCity,931000
2019-04,Franklin,685000
2019-04,Manukau,836000
2019-04,NorthShore,955000
2019-04,Papakura,685000
2019-04,Rodney,818000
2019-04,Waitakere,756000
2019-05,AucklandCity,975000
2019-05,Franklin,670000
2019-05,Manukau,775000
2019-05,NorthShore,972500
2019-05,Papakura,680000
2019-05,Rodney,899000
2019-05,Waitakere,785000
2019-06,AucklandCity,980000
2019-06,Franklin,696000
2019-06,Manukau,822000
2019-06,NorthShore,988000
2019-06,Papakura,710000
2019-06,Rodney,846500
2019-06,Waitakere,765000
2019-07,AucklandCity,855000
2019-07,Franklin,650000
2019-07,Manukau,820000
2019-07,NorthShore,970000
2019-07,Papakura,700000
2019-07,Rodney,865000
2019-07,Waitakere,750000
2019-08,AucklandCity,925000
2019-08,Franklin,685000
2019-08,Manukau,770000
2019-08,NorthShore,999000
2019-08,Papakura,710000
2019-08,Rodney,886000
2019-08,Waitakere,770000
2019-09,AucklandCity,925000
2019-09,Franklin,670000
2019-09,Manukau,845000
2019-09,NorthShore,990000
2019-09,Papakura,672500
2019-09,Rodney,850000
2019-09,Waitakere,760000
2019-10,AucklandCity,1001000
2019-10,Franklin,695000
2019-10,Manukau,815000
2019-10,NorthShore,980000
2019-10,Papakura,685000
2019-10,Rodney,906000
2019-10,Waitakere,808000
2019-11,AucklandCity,1030000
2019-11,Franklin,710000
2019-11,Manukau,835000
2019-11,NorthShore,985000
2019-11,Papakura,685000
2019-11,Rodney,872000
2019-11,Waitakere,815000
2019-12,AucklandCity,1005000
2019-12,Franklin,695000
2019-12,Manukau,899000
2019-12,NorthShore,1050000
2019-12,Papakura,679000
2019-12,Rodney,890000
2019-12,Waitakere,805000
2020-01,AucklandCity,930000
2020-01,Franklin,725000
2020-01,Manukau,860000
2020-01,NorthShore,1101000
2020-01,Papakura,710000
2020-01,Rodney,919000
2020-01,Waitakere,830000
2020-02,AucklandCity,1000000
2020-02,Franklin,650000
2020-02,Manukau,850000
2020-02,NorthShore,1155000
2020-02,Papakura,685000
2020-02,Rodney,880000
2020-02,Waitakere,830000
2020-03,AucklandCity,1160000
2020-03,Franklin,710000
2020-03,Manukau,920000
2020-03,NorthShore,1125000
2020-03,Papakura,709000
2020-03,Rodney,900000
2020-03,Waitakere,845000
2020-04,AucklandCity,1070000
2020-04,Franklin,672500
2020-04,Manukau,845000
2020-04,NorthShore,1108000
2020-04,Papakura,735000
2020-04,Rodney,870000
2020-04,Waitakere,875000
2020-05,AucklandCity,1057500
2020-05,Franklin,700000
2020-05,Manukau,870000
2020-05,NorthShore,1000000
2020-05,Papakura,700000
2020-05,Rodney,885000
2020-05,Waitakere,830000
2020-06,AucklandCity,1147500
2020-06,Franklin,745000
2020-06,Manukau,890000
2020-06,NorthShore,1060000
2020-06,Papakura,654000
2020-06,Rodney,903000
2020-06,Waitakere,815000
2020-08,AucklandCity,1100000
2020-08,Franklin,710000
2020-08,Manukau,920000
2020-08,NorthShore,1120000
2020-08,Papakura,786000
2020-08,Rodney,961000
2020-08,Waitakere,885000
2020-09,AucklandCity,1250000
2020-09,Franklin,710000
2020-09,Manukau,966000
2020-09,NorthShore,1031275
2020-09,Papakura,723000
2020-09,Rodney,939000
2020-09,Waitakere,885000
2020-10,AucklandCity,1220000
2020-10,Franklin,735000
2020-10,Manukau,992500
2020-10,NorthShore,1155000
2020-10,Papakura,730000
2020-10,Rodney,945000
2020-10,Waitakere,915000
2020-11,AucklandCity,1250000
2020-11,Franklin,803000
2020-11,Manukau,965000
2020-11,NorthShore,1225000
2020-11,Papakura,772000
2020-11,Rodney,1005000
2020-11,Waitakere,906000
2020-12,AucklandCity,1270000
2020-12,Franklin,791000
2020-12,Manukau,923000
2020-12,NorthShore,1235000
2020-12,Papakura,800000
2020-12,Rodney,1015000
2020-12,Waitakere,950000
2021-01,AucklandCity,1101000
2021-01,Franklin,770000
2021-01,Manukau,924500
2021-01,NorthShore,1255000
2021-01,Papakura,786000
2021-01,Rodney,1090000
2021-01,Waitakere,940000
2021-02,AucklandCity,1286000
2021-02,Franklin,827000
2021-02,Manukau,1003000
2021-02,NorthShore,1321000
2021-02,Papakura,830000
2021-02,Rodney,1030000
2021-02,Waitakere,1003000
2021-03,AucklandCity,1388888
2021-03,Franklin,830000
2021-03,Manukau,1065000
2021-03,NorthShore,1355000
2021-03,Papakura,870000
2021-03,Rodney,1170000
2021-03,Waitakere,994000
2021-04,AucklandCity,1318500
2021-04,Franklin,835000
2021-04,Manukau,1051000
2021-04,NorthShore,1288000
2021-04,Papakura,860000
2021-04,Rodney,1150000
2021-04,Waitakere,992000
2021-05,AucklandCity,1355000
2021-05,Franklin,822000
2021-05,Manukau,1051000
2021-05,NorthShore,1330000
2021-05,Papakura,900000
2021-05,Rodney,1140000
2021-05,Waitakere,1050000
2021-06,AucklandCity,1334000
2021-06,Franklin,810000
2021-06,Manukau,1065000
2021-06,NorthShore,1325000
2021-06,Papakura,805000
2021-06,Rodney,1200000
2021-06,Waitakere,1062500
2021-07,AucklandCity,1300000
2021-07,Franklin,880000
2021-07,Manukau,1070000
2021-07,NorthShore,1370000
2021-07,Papakura,910000
2021-07,Rodney,1218000
2021-07,Waitakere,1100000
2021-08,AucklandCity,1312000
2021-08,Franklin,950000
2021-08,Manukau,1157000
2021-08,NorthShore,1295000
2021-08,Papakura,935000
2021-08,Rodney,1300000
2021-08,Waitakere,1120000
2021-09,AucklandCity,1285000
2021-09,Franklin,857000
2021-09,Manukau,1095000
2021-09,NorthShore,1330000
2021-09,Papakura,1053000
2021-09,Rodney,1255000
2021-09,Waitakere,1099000
2021-10,AucklandCity,1410000
2021-10,Franklin,1000000
2021-10,Manukau,1163000
2021-10,NorthShore,1465000
2021-10,Papakura,1088000
2021-10,Rodney,1315000
2021-10,Waitakere,1122000
2021-11,AucklandCity,1540000
2021-11,Franklin,973000
2021-11,Manukau,1230000
2021-11,NorthShore,1550000
2021-11,Papakura,1130000
2021-11,Rodney,1315000
