Month,District,Median_Price,sales_count,OCR,CGPI_Dwelling,Consents,Net_migration_monthly,weeklyrent,unemployment_rate,RealMortgageRate
2018-08,AucklandCity,935000,592,1.75,741.63,293.0,866.67,536.5,4.17,3.103
2018-08,Franklin,669000,74,1.75,741.63,54.0,116.67,485.0,4.17,3.103
2018-08,Manukau,860000,391,1.75,741.63,261.0,225.0,474.5,4.17,3.103
2018-08,NorthShore,920000,299,1.75,741.63,443.0,558.33,555.5,4.17,3.103
2018-08,Papakura,676000,79,1.75,741.63,97.0,125.0,479.0,4.17,3.103
2018-08,Rodney,895000,145,1.75,741.63,87.0,166.67,510.0,4.17,3.103
2018-08,Waitakere,780000,257,1.75,741.63,59.0,66.67,493.0,4.17,3.103
2018-09,AucklandCity,950000,503,1.75,744.04,237.0,866.67,536.5,4.1,3.0367
2018-09,Franklin,681000,80,1.75,744.04,43.0,116.67,485.0,4.1,3.0367
2018-09,Manukau,865000,345,1.75,744.04,112.0,225.0,474.5,4.1,3.0367
2018-09,NorthShore,995000,301,1.75,744.04,245.0,558.33,555.5,4.1,3.0367
2018-09,Papakura,670000,81,1.75,744.04,104.0,125.0,479.0,4.1,3.0367
2018-09,Rodney,857500,131,1.75,744.04,67.0,166.67,510.0,4.1,3.0367
2018-09,Waitakere,715000,274,1.75,744.04,41.0,66.67,493.0,4.1,3.0367
2018-10,AucklandCity,957000,663,1.75,746.44,222.0,866.67,536.5,4.13,3.0313
2018-10,Franklin,638500,78,1.75,746.44,69.0,116.67,485.0,4.13,3.0313
2018-10,Manukau,830000,400,1.75,746.44,187.0,225.0,474.5,4.13,3.0313
2018-10,NorthShore,997000,328,1.75,746.44,242.0,558.33,555.5,4.13,3.0313
2018-10,Papakura,675000,86,1.75,746.44,110.0,125.0,479.0,4.13,3.0313
2018-10,Rodney,870000,159,1.75,746.44,86.0,166.67,510.0,4.13,3.0313
2018-10,Waitakere,825000,314,1.75,746.44,156.0,66.67,493.0,4.13,3.0313
2018-12,AucklandCity,955000,444,1.75,750.21,388.0,866.67,536.5,4.2,3.3111
2018-12,Franklin,695000,64,1.75,750.21,58.0,116.67,485.0,4.2,3.3111
2018-12,Manukau,832000,295,1.75,750.21,161.0,225.0,474.5,4.2,3.3111
2018-12,NorthShore,980000,217,1.75,750.21,179.0,558.33,555.5,4.2,3.3111
2018-12,Papakura,685000,60,1.75,750.21,36.0,125.0,479.0,4.2,3.3111
2018-12,Rodney,870000,126,1.75,750.21,59.0,166.67,510.0,4.2,3.3111
2018-12,Waitakere,825500,206,1.75,750.21,55.0,66.67,493.0,4.2,3.3111
2019-01,AucklandCity,872500,351,1.75,752.1,475.0,218.33,550.0,4.2,3.4463
2019-01,Franklin,650000,72,1.75,752.1,62.0,100.0,500.0,4.2,3.4463
2019-01,Manukau,821000,214,1.75,752.1,166.0,245.0,483.75,4.2,3.4463
2019-01,NorthShore,920000,155,1.75,752.1,156.0,238.33,573.0,4.2,3.4463
2019-01,Papakura,650000,69,1.75,752.1,118.0,133.33,495.0,4.2,3.4463
2019-01,Rodney,850000,123,1.75,752.1,100.0,141.67,511.0,4.2,3.4463
2019-01,Waitakere,750000,196,1.75,752.1,42.0,46.67,507.5,4.2,3.4463
2019-02,AucklandCity,980000,477,1.75,754.07,428.0,218.33,550.0,4.2,3.3721
2019-02,Franklin,665000,70,1.75,754.07,101.0,100.0,500.0,4.2,3.3721
2019-02,Manukau,832000,246,1.75,754.07,283.0,245.0,483.75,4.2,3.3721
2019-02,NorthShore,988988,198,1.75,754.07,273.0,238.33,573.0,4.2,3.3721
2019-02,Papakura,650000,61,1.75,754.07,133.0,133.33,495.0,4.2,3.3721
2019-02,Rodney,885000,133,1.75,754.07,59.0,141.67,511.0,4.2,3.3721
2019-02,Waitakere,776000,205,1.75,754.07,72.0,46.67,507.5,4.2,3.3721
2019-03,AucklandCity,950000,678,1.75,756.03,246.0,218.33,550.0,4.2,3.199
2019-03,Franklin,694000,82,1.75,756.03,72.0,100.0,500.0,4.2,3.199
2019-03,Manukau,837000,403,1.75,756.03,152.0,245.0,483.75,4.2,3.199
2019-03,NorthShore,1020000,318,1.75,756.03,389.0,238.33,573.0,4.2,3.199
2019-03,Papakura,685500,87,1.75,756.03,125.0,133.33,495.0,4.2,3.199
