Year,Howick,MangereOtahuhu,OtaraPapatoetoe,Manurewa,Manukau
2006,119100.0,72500.0,76600.0,81600.0,349800.0
2007,122400.0,72700.0,76800.0,82400.0,354300.0
2008,124900.0,72900.0,77200.0,83200.0,358200.0
2009,126900.0,73200.0,77900.0,83900.0,361900.0
2010,129000.0,73600.0,78500.0,84900.0,366000.0
2011,131100.0,74100.0,79300.0,86000.0,370500.0
2012,133700.0,74500.0,79800.0,86600.0,374600.0
2013,135000.0,75300.0,80300.0,87000.0,377600.0
2014,137800.0,76700.0,81900.0,88900.0,385300.0
2015,141500.0,78100.0,84200.0,91500.0,395300.0
2016,144900.0,79800.0,86300.0,95100.0,406100.0
2017,147800.0,81500.0,88400.0,98000.0,415700.0
2018,149400.0,82700.0,90500.0,100900.0,423500.0
2019,152300.0,83100.0,91000.0,101900.0,428300.0
2020,156200.0,83500.0,91600.0,103400.0,434700.0
2021,156300.0,82400.0,90200.0,102500.0,431400.0
2022,156500.0,81300.0,89500.0,101600.0,428900.0
2023,165100.0,83200.0,93900.0,105800.0,448000.0
2024,170300.0,85300.0,97400.0,109100.0,462100.0
2025,173200.0,85900.0,98900.0,110400.0,468400.0
