Year,District,population
2006,AucklandCity,438600.0
2006,Franklin,60600.0
2006,Manukau,349800.0
2006,NorthShore,269600.0
2006,Papakura,43100.0
2006,Rodney,51000.0
2006,Waitakere,151200.0
2007,AucklandCity,443000.0
2007,Franklin,62000.0
2007,Manukau,354300.0
2007,NorthShore,273600.0
2007,Papakura,43700.0
2007,Rodney,51900.0
2007,Waitakere,152800.0
2008,AucklandCity,446900.0
2008,Franklin,63100.0
2008,Manukau,358200.0
2008,NorthShore,276700.0
2008,Papakura,44300.0
2008,Rodney,52900.0
2008,Waitakere,154200.0
2009,AucklandCity,452100.0
2009,Franklin,64200.0
2009,Manukau,361900.0
2009,NorthShore,279700.0
2009,Papakura,44800.0
2009,Rodney,53800.0
2009,Waitakere,156200.0
2010,AucklandCity,457300.0
2010,Franklin,65200.0
2010,Manukau,366000.0
2010,NorthShore,283300.0
2010,Papakura,45600.0
2010,Rodney,54800.0
2010,Waitakere,158200.0
2011,AucklandCity,462900.0
2011,Franklin,66300.0
2011,Manukau,370500.0
2011,NorthShore,287700.0
2011,Papakura,46500.0
2011,Rodney,55800.0
2011,Waitakere,160400.0
2012,AucklandCity,467000.0
2012,Franklin,67300.0
2012,Manukau,374600.0
2012,NorthShore,291900.0
2012,Papakura,47400.0
2012,Rodney,56700.0
2012,Waitakere,162200.0
2013,AucklandCity,471700.0
2013,Franklin,68300.0
2013,Manukau,377600.0
2013,NorthShore,296300.0
2013,Papakura,48200.0
2013,Rodney,57300.0
2013,Waitakere,164200.0
2014,AucklandCity,478000.0
2014,Franklin,69700.0
2014,Manukau,385300.0
2014,NorthShore,301400.0
2014,Papakura,50600.0
2014,Rodney,58700.0
2014,Waitakere,167200.0
2015,AucklandCity,484700.0
2015,Franklin,71200.0
2015,Manukau,395300.0
2015,NorthShore,308000.0
2015,Papakura,53100.0
2015,Rodney,60600.0
2015,Waitakere,170300.0
2016,AucklandCity,493300.0
2016,Franklin,73100.0
2016,Manukau,406100.0
2016,NorthShore,315100.0
2016,Papakura,55800.0
2016,Rodney,63200.0
2016,Waitakere,173300.0
2017,AucklandCity,500200.0
2017,Franklin,75300.0
2017,Manukau,415700.0
2017,NorthShore,322500.0
2017,Papakura,58700.0
2017,Rodney,66100.0
2017,Waitakere,176300.0
2018,AucklandCity,505400.0
2018,Franklin,77700.0
2018,Manukau,423500.0
2018,NorthShore,328700.0
2018,Papakura,61100.0
2018,Rodney,69100.0
2018,Waitakere,178800.0
2019,AucklandCity,510000.0
2019,Franklin,80100.0
2019,Manukau,428300.0
2019,NorthShore,335600.0
2019,Papakura,63600.0
2019,Rodney,71000.0
2019,Waitakere,181200.0
2020,AucklandCity,514400.0
2020,Franklin,82800.0
2020,Manukau,434700.0
2020,NorthShore,343700.0
2020,Papakura,67500.0
2020,Rodney,74200.0
2020,Waitakere,183900.0
2021,AucklandCity,503700.0
2021,Franklin,84600.0
2021,Manukau,431400.0
2021,NorthShore,343300.0
2021,Papakura,70600.0
2021,Rodney,76600.0
2021,Waitakere,183200.0
2022,AucklandCity,493000.0
2022,Franklin,85700.0
2022,Manukau,428900.0
2022,NorthShore,341900.0
2022,Papakura,73500.0
2022,Rodney,78500.0
2022,Waitakere,182400.0
2023,AucklandCity,507400.0
2023,Franklin,87900.0
2023,Manukau,448000.0
2023,NorthShore,353500.0
2023,Papakura,78200.0
2023,Rodney,80700.0
2023,Waitakere,188600.0
2024,AucklandCity,518200.0
2024,Franklin,89300.0
2024,Manukau,462100.0
2024,NorthShore,359900.0
2024,Papakura,82000.0
2024,Rodney,82600.0
2024,Waitakere,193500.0
2025,AucklandCity,521200.0
2025,Franklin,89900.0
2025,Manukau,468400.0
2025,NorthShore,362300.0
2025,Papakura,84200.0
2025,Rodney,83400.0
2025,Waitakere,196100.0
