Month,District,population
2006-01,AucklandCity,438600.00
2006-01,Franklin,60600.00
2006-01,Manukau,349800.00
2006-01,NorthShore,269600.00
2006-01,Papakura,43100.00
2006-01,Rodney,51000.00
2006-01,Waitakere,151200.00
2006-02,AucklandCity,438966.67
2006-02,Franklin,60716.67
2006-02,Manukau,350175.00
2006-02,NorthShore,269933.33
2006-02,Papakura,43150.00
2006-02,Rodney,51075.00
2006-02,Waitakere,151333.33
2006-03,AucklandCity,439333.33
2006-03,Franklin,60833.33
2006-03,Manukau,350550.00
2006-03,NorthShore,270266.67
2006-03,Papakura,43200.00
2006-03,Rodney,51150.00
2006-03,Waitakere,151466.67
2006-04,AucklandCity,439700.00
2006-04,Franklin,60950.00
2006-04,Manukau,350925.00
2006-04,NorthShore,270600.00
2006-04,Papakura,43250.00
2006-04,Rodney,51225.00
2006-04,Waitakere,151600.00
2006-05,AucklandCity,440066.67
2006-05,Franklin,61066.67
2006-05,Manukau,351300.00
2006-05,NorthShore,270933.33
2006-05,Papakura,43300.00
2006-05,Rodney,51300.00
2006-05,Waitakere,151733.33
2006-06,AucklandCity,440433.33
2006-06,Franklin,61183.33
2006-06,Manukau,351675.00
2006-06,NorthShore,271266.67
2006-06,Papakura,43350.00
2006-06,Rodney,51375.00
2006-06,Waitakere,151866.67
2006-07,AucklandCity,440800.00
2006-07,Franklin,61300.00
2006-07,Manukau,352050.00
2006-07,NorthShore,271600.00
2006-07,Papakura,43400.00
2006-07,Rodney,51450.00
2006-07,Waitakere,152000.00
2006-08,AucklandCity,441166.67
2006-08,Franklin,61416.67
2006-08,Manukau,352425.00
2006-08,NorthShore,271933.33
2006-08,Papakura,43450.00
2006-08,Rodney,51525.00
2006-08,Waitakere,152133.33
2006-09,AucklandCity,441533.33
2006-09,Franklin,61533.33
2006-09,Manukau,352800.00
2006-09,NorthShore,272266.67
2006-09,Papakura,43500.00
2006-09,Rodney,51600.00
2006-09,Waitakere,152266.67
2006-10,AucklandCity,441900.00
2006-10,Franklin,61650.00
2006-10,Manukau,353175.00
2006-10,NorthShore,272600.00
2006-10,Papakura,43550.00
2006-10,Rodney,51675.00
2006-10,Waitakere,152400.00
2006-11,AucklandCity,442266.67
2006-11,Franklin,61766.67
2006-11,Manukau,353550.00
2006-11,NorthShore,272933.33
2006-11,Papakura,43600.00
2006-11,Rodney,51750.00
2006-11,Waitakere,152533.33
2006-12,AucklandCity,442633.33
2006-12,Franklin,61883.33
2006-12,Manukau,353925.00
2006-12,NorthShore,273266.67
2006-12,Papakura,43650.00
2006-12,Rodney,51825.00
2006-12,Waitakere,152666.67
2007-01,AucklandCity,443000.00
2007-01,Franklin,62000.00
2007-01,Manukau,354300.00
2007-01,NorthShore,273600.00
2007-01,Papakura,43700.00
2007-01,Rodney,51900.00
2007-01,Waitakere,152800.00
2007-02,AucklandCity,443325.00
2007-02,Franklin,62091.67
2007-02,Manukau,354625.00
2007-02,NorthShore,273858.33
2007-02,Papakura,43750.00
2007-02,Rodney,51983.33
2007-02,Waitakere,152916.67
2007-03,AucklandCity,443650.00
2007-03,Franklin,62183.33
2007-03,Manukau,354950.00
2007-03,NorthShore,274116.67
2007-03,Papakura,43800.00
2007-03,Rodney,52066.67
2007-03,Waitakere,153033.33
2007-04,AucklandCity,443975.00
2007-04,Franklin,62275.00
2007-04,Manukau,355275.00
2007-04,NorthShore,274375.00
2007-04,Papakura,43850.00
2007-04,Rodney,52150.00
2007-04,Waitakere,153150.00
2007-05,AucklandCity,444300.00
2007-05,Franklin,62366.67
2007-05,Manukau,355600.00
2007-05,NorthShore,274633.33
2007-05,Papakura,43900.00
2007-05,Rodney,52233.33
2007-05,Waitakere,153266.67
2007-06,AucklandCity,444625.00
2007-06,Franklin,62458.33
2007-06,Manukau,355925.00
2007-06,NorthShore,274891.67
2007-06,Papakura,43950.00
2007-06,Rodney,52316.67
2007-06,Waitakere,153383.33
2007-07,AucklandCity,444950.00
2007-07,Franklin,62550.00
2007-07,Manukau,356250.00
2007-07,NorthShore,275150.00
2007-07,Papakura,44000.00
2007-07,Rodney,52400.00
2007-07,Waitakere,153500.00
2007-08,AucklandCity,445275.00
2007-08,Franklin,62641.67
2007-08,Manukau,356575.00
2007-08,NorthShore,275408.33
2007-08,Papakura,44050.00
2007-08,Rodney,52483.33
2007-08,Waitakere,153616.67
2007-09,AucklandCity,445600.00
2007-09,Franklin,62733.33
2007-09,Manukau,356900.00
2007-09,NorthShore,275666.67
2007-09,Papakura,44100.00
2007-09,Rodney,52566.67
2007-09,Waitakere,153733.33
2007-10,AucklandCity,445925.00
2007-10,Franklin,62825.00
2007-10,Manukau,357225.00
2007-10,NorthShore,275925.00
2007-10,Papakura,44150.00
2007-10,Rodney,52650.00
2007-10,Waitakere,153850.00
2007-11,AucklandCity,446250.00
2007-11,Franklin,62916.67
2007-11,Manukau,357550.00
2007-11,NorthShore,276183.33
2007-11,Papakura,44200.00
2007-11,Rodney,52733.33
2007-11,Waitakere,153966.67
2007-12,AucklandCity,446575.00
2007-12,Franklin,63008.33
2007-12,Manukau,357875.00
2007-12,NorthShore,276441.67
2007-12,Papakura,44250.00
2007-12,Rodney,52816.67
2007-12,Waitakere,154083.33
2008-01,AucklandCity,446900.00
2008-01,Franklin,63100.00
