Month,District,unemployment_rate
2016-03,AucklandCity,5.7
2016-03,Franklin,5.7
2016-03,Manukau,5.7
2016-03,NorthShore,5.7
2016-03,Papakura,5.7
2016-03,Rodney,5.7
2016-03,Waitakere,5.7
2016-04,AucklandCity,5.6
2016-04,Franklin,5.6
2016-04,Manukau,5.6
2016-04,NorthShore,5.6
2016-04,Papakura,5.6
2016-04,Rodney,5.6
2016-04,Waitakere,5.6
2016-05,AucklandCity,5.5
2016-05,Franklin,5.5
2016-05,Manukau,5.5
2016-05,NorthShore,5.5
2016-05,Papakura,5.5
2016-05,Rodney,5.5
2016-05,Waitakere,5.5
2016-06,AucklandCity,5.4
2016-06,Franklin,5.4
2016-06,Manukau,5.4
2016-06,NorthShore,5.4
2016-06,Papakura,5.4
2016-06,Rodney,5.4
2016-06,Waitakere,5.4
2016-07,AucklandCity,5.37
2016-07,Franklin,5.37
2016-07,Manukau,5.37
2016-07,NorthShore,5.37
2016-07,Papakura,5.37
2016-07,Rodney,5.37
2016-07,Waitakere,5.37
2016-08,AucklandCity,5.33
2016-08,Franklin,5.33
2016-08,Manukau,5.33
2016-08,NorthShore,5.33
2016-08,Papakura,5.33
2016-08,Rodney,5.33
2016-08,Waitakere,5.33
2016-09,AucklandCity,5.3
2016-09,Franklin,5.3
2016-09,Manukau,5.3
2016-09,NorthShore,5.3
2016-09,Papakura,5.3
2016-09,Rodney,5.3
2016-09,Waitakere,5.3
2016-10,AucklandCity,5.3
2016-10,Franklin,5.3
2016-10,Manukau,5.3
2016-10,NorthShore,5.3
2016-10,Papakura,5.3
2016-10,Rodney,5.3
2016-10,Waitakere,5.3
2016-11,AucklandCity,5.3
2016-11,Franklin,5.3
2016-11,Manukau,5.3
2016-11,NorthShore,5.3
2016-11,Papakura,5.3
2016-11,Rodney,5.3
2016-11,Waitakere,5.3
2016-12,AucklandCity,5.3
2016-12,Franklin,5.3
2016-12,Manukau,5.3
2016-12,NorthShore,5.3
2016-12,Papakura,5.3
2016-12,Rodney,5.3
2016-12,Waitakere,5.3
2017-01,AucklandCity,5.2
2017-01,Franklin,5.2
2017-01,Manukau,5.2
2017-01,NorthShore,5.2
2017-01,Papakura,5.2
2017-01,Rodney,5.2
2017-01,Waitakere,5.2
2017-02,AucklandCity,5.1
2017-02,Franklin,5.1
2017-02,Manukau,5.1
2017-02,NorthShore,5.1
2017-02,Papakura,5.1
2017-02,Rodney,5.1
2017-02,Waitakere,5.1
2017-03,AucklandCity,5.0
2017-03,Franklin,5.0
2017-03,Manukau,5.0
2017-03,NorthShore,5.0
2017-03,Papakura,5.0
2017-03,Rodney,5.0
2017-03,Waitakere,5.0
2017-04,AucklandCity,5.0
2017-04,Franklin,5.0
2017-04,Manukau,5.0
2017-04,NorthShore,5.0
2017-04,Papakura,5.0
2017-04,Rodney,5.0
2017-04,Waitakere,5.0
2017-05,AucklandCity,5.0
2017-05,Franklin,5.0
2017-05,Manukau,5.0
2017-05,NorthShore,5.0
2017-05,Papakura,5.0
2017-05,Rodney,5.0
2017-05,Waitakere,5.0
2017-06,AucklandCity,5.0
2017-06,Franklin,5.0
2017-06,Manukau,5.0
2017-06,NorthShore,5.0
2017-06,Papakura,5.0
2017-06,Rodney,5.0
2017-06,Waitakere,5.0
2017-07,AucklandCity,4.93
2017-07,Franklin,4.93
2017-07,Manukau,4.93
2017-07,NorthShore,4.93
2017-07,Papakura,4.93
2017-07,Rodney,4.93
2017-07,Waitakere,4.93
2017-08,AucklandCity,4.87
2017-08,Franklin,4.87
2017-08,Manukau,4.87
2017-08,NorthShore,4.87
2017-08,Papakura,4.87
2017-08,Rodney,4.87
2017-08,Waitakere,4.87
2017-09,AucklandCity,4.8
2017-09,Franklin,4.8
2017-09,Manukau,4.8
2017-09,NorthShore,4.8
2017-09,Papakura,4.8
2017-09,Rodney,4.8
2017-09,Waitakere,4.8
2017-10,AucklandCity,4.73
2017-10,Franklin,4.73
2017-10,Manukau,4.73
2017-10,NorthShore,4.73
2017-10,Papakura,4.73
2017-10,Rodney,4.73
2017-10,Waitakere,4.73
2017-11,AucklandCity,4.67
2017-11,Franklin,4.67
2017-11,Manukau,4.67
2017-11,NorthShore,4.67
2017-11,Papakura,4.67
2017-11,Rodney,4.67
2017-11,Waitakere,4.67
2017-12,AucklandCity,4.6
2017-12,Franklin,4.6
2017-12,Manukau,4.6
2017-12,NorthShore,4.6
2017-12,Papakura,4.6
2017-12,Rodney,4.6
2017-12,Waitakere,4.6
2018-01,AucklandCity,4.53
2018-01,Franklin,4.53
2018-01,Manukau,4.53
2018-01,NorthShore,4.53
2018-01,Papakura,4.53
2018-01,Rodney,4.53
2018-01,Waitakere,4.53
2018-02,AucklandCity,4.47
2018-02,Franklin,4.47
2018-02,Manukau,4.47
2018-02,NorthShore,4.47
2018-02,Papakura,4.47
2018-02,Rodney,4.47
2018-02,Waitakere,4.47
2018-03,AucklandCity,4.4
2018-03,Franklin,4.4
2018-03,Manukau,4.4
2018-03,NorthShore,4.4
2018-03,Papakura,4.4
2018-03,Rodney,4.4
2018-03,Waitakere,4.4
2018-04,AucklandCity,4.37
2018-04,Franklin,4.37
2018-04,Manukau,4.37
2018-04,NorthShore,4.37
2018-04,Papakura,4.37
2018-04,Rodney,4.37
2018-04,Waitakere,4.37
2018-05,AucklandCity,4.33
2018-05,Franklin,4.33
2018-05,Manukau,4.33
2018-05,NorthShore,4.33
2018-05,Papakura,4.33
2018-05,Rodney,4.33
2018-05,Waitakere,4.33
2018-06,AucklandCity,4.3
2018-06,Franklin,4.3
2018-06,Manukau,4.3
2018-06,NorthShore,4.3
2018-06,Papakura,4.3
2018-06,Rodney,4.3
2018-06,Waitakere,4.3
