Year,Waitemata_income,AlbertEden_income,Puketapapa_income,Orakei_income,MaungakiekieTamaki_income,Whau_income,Waitemata_pop,Whau_pop,AlbertEden_pop,Puketapapa_pop,Orakei_pop,MaungakiekieTamaki_pop,AucklandCity,AucklandCity_income_weighted
2006,87874.0,88736.0,74319.0,107482.0,71118.0,68091.0,66600.0,73100.0,96200.0,53900.0,78400.0,70400.0,438600.0,83915.53533971729
2007,90353.0,94766.0,78925.0,112550.0,75310.0,72307.0,68900.0,73600.0,96700.0,54300.0,78800.0,70700.0,443000.0,88464.95169300225
2008,94859.0,102371.0,86108.0,121072.0,82150.0,77839.0,71200.0,74000.0,96900.0,54400.0,79300.0,71100.0,446900.0,95233.71335869322
2009,93037.0,101700.0,85276.0,119086.0,81458.0,77941.0,73500.0,74600.0,97600.0,54800.0,80000.0,71600.0,452100.0,94251.1296173413
2010,91539.0,102942.0,86212.0,118516.0,81756.0,78084.0,75500.0,75400.0,98400.0,55100.0,80800.0,72100.0,457300.0,94356.44544062979
2011,95640.0,108319.0,90449.0,125015.0,85601.0,81089.0,77100.0,76000.0,99400.0,55700.0,81800.0,72900.0,462900.0,98958.88053575286
2012,98380.0,111685.0,93478.0,130422.0,88161.0,83686.0,78500.0,76300.0,100100.0,56100.0,82700.0,73300.0,467000.0,102312.54132762313
2013,97851.0,111202.0,93154.0,130769.0,87957.0,83243.0,81300.0,76700.0,100000.0,56300.0,83700.0,73700.0,471700.0,102040.68433326267
2014,104160.0,118176.0,98497.0,137236.0,92288.0,88403.0,82200.0,78200.0,100800.0,57300.0,84700.0,74800.0,478000.0,107862.16966527197
2015,109598.0,122915.0,102070.0,142898.0,97008.0,92384.0,83500.0,79700.0,101500.0,58300.0,85700.0,76000.0,484700.0,112564.38601196617
2016,117050.0,130170.0,109619.0,150819.0,103529.0,98778.0,85700.0,81400.0,102500.0,59300.0,86600.0,77800.0,493300.0,119663.54652341374
2017,120039.0,133191.0,112895.0,153304.0,106305.0,102117.0,87300.0,82800.0,103400.0,60100.0,87400.0,79200.0,500200.0,122570.48540583767
2018,123309.0,137559.0,116899.0,156009.0,112111.0,106574.0,88500.0,84100.0,103700.0,60900.0,87700.0,80500.0,505400.0,126566.407004353
2019,129918.0,143661.0,124005.0,161237.0,117976.0,113306.0,90800.0,84900.0,103500.0,61200.0,88000.0,81600.0,510000.0,132725.39392156864
2020,137435.0,151521.0,131624.0,167381.0,126001.0,121411.0,92500.0,85300.0,103600.0,61600.0,89300.0,82100.0,514400.0,140292.60342146188
2021,143307.0,156549.0,136450.0,172562.0,131272.0,125865.0,89400.0,84000.0,101300.0,59800.0,88100.0,81100.0,503700.0,145426.4460988684
2022,157883.0,169753.0,149039.0,180488.0,141566.0,137745.0,85900.0,83100.0,99100.0,58500.0,86100.0,80300.0,493000.0,157115.27302231238
2023,158668.0,179635.0,158175.0,186273.0,150971.0,147595.0,87600.0,87000.0,101500.0,61000.0,86900.0,83400.0,507400.0,164366.99724083563
2024,,,,,,,89200.0,89900.0,102900.0,62400.0,87100.0,86700.0,518200.0,
2025,,,,,,,88900.0,91300.0,102900.0,63200.0,86800.0,88100.0,521200.0,
