Year,District,household_income
2006,AucklandCity,83915.54
2006,Franklin,74648.00
2006,Manukau,76180.85
2006,NorthShore,80942.02
2006,Papakura,71088.00
2006,Rodney,65471.00
2006,Waitakere,72900.46
2007,AucklandCity,88464.95
2007,Franklin,81116.00
2007,Manukau,80597.86
2007,NorthShore,86093.36
2007,Papakura,74837.00
2007,Rodney,70045.00
2007,Waitakere,77007.96
2008,AucklandCity,95233.71
2008,Franklin,88956.00
2008,Manukau,87003.56
2008,NorthShore,92923.53
2008,Papakura,79954.00
2008,Rodney,77067.00
2008,Waitakere,83014.83
2009,AucklandCity,94251.13
2009,Franklin,88168.00
2009,Manukau,86382.71
2009,NorthShore,92160.96
2009,Papakura,79400.00
2009,Rodney,77257.00
2009,Waitakere,81904.94
2010,AucklandCity,94356.45
2010,Franklin,89573.00
2010,Manukau,86421.42
2010,NorthShore,92073.94
2010,Papakura,78593.00
2010,Rodney,79855.00
2010,Waitakere,82497.51
2011,AucklandCity,98958.88
2011,Franklin,95197.00
2011,Manukau,90821.88
2011,NorthShore,96542.65
2011,Papakura,81940.00
2011,Rodney,84663.00
2011,Waitakere,86522.23
2012,AucklandCity,102312.54
2012,Franklin,100036.00
2012,Manukau,93190.91
2012,NorthShore,100177.68
2012,Papakura,84194.00
2012,Rodney,90182.00
2012,Waitakere,89027.43
2013,AucklandCity,102040.68
2013,Franklin,102425.00
2013,Manukau,93145.40
2013,NorthShore,101290.02
2013,Papakura,85583.00
2013,Rodney,92453.00
2013,Waitakere,89151.06
2014,AucklandCity,107862.17
2014,Franklin,108125.00
2014,Manukau,98433.86
2014,NorthShore,106531.23
2014,Papakura,90394.00
2014,Rodney,97269.00
2014,Waitakere,94097.21
2015,AucklandCity,112564.39
2015,Franklin,113460.00
2015,Manukau,102642.09
2015,NorthShore,110487.74
2015,Papakura,94773.00
2015,Rodney,102594.00
2015,Waitakere,98552.28
2016,AucklandCity,119663.55
2016,Franklin,120988.00
2016,Manukau,109507.71
2016,NorthShore,117155.32
2016,Papakura,101999.00
2016,Rodney,111740.00
2016,Waitakere,104782.99
2017,AucklandCity,122570.49
2017,Franklin,124138.00
2017,Manukau,112979.71
2017,NorthShore,119382.26
2017,Papakura,105262.00
2017,Rodney,115825.00
2017,Waitakere,107575.66
2018,AucklandCity,126566.41
2018,Franklin,128644.00
2018,Manukau,117883.47
2018,NorthShore,123098.12
2018,Papakura,110596.00
2018,Rodney,121243.00
2018,Waitakere,111996.10
2019,AucklandCity,132725.39
2019,Franklin,132231.00
2019,Manukau,124218.28
2019,NorthShore,128673.23
2019,Papakura,116492.00
2019,Rodney,126192.00
2019,Waitakere,118034.90
2020,AucklandCity,140292.60
2020,Franklin,137729.00
2020,Manukau,132035.76
2020,NorthShore,135961.69
2020,Papakura,123404.00
2020,Rodney,131177.00
2020,Waitakere,125290.46
2021,AucklandCity,145426.45
2021,Franklin,144675.00
2021,Manukau,136956.32
2021,NorthShore,141667.30
2021,Papakura,129245.00
2021,Rodney,137409.00
2021,Waitakere,129574.24
2022,AucklandCity,157115.27
2022,Franklin,149985.00
2022,Manukau,147976.98
2022,NorthShore,152434.35
2022,Papakura,136357.00
2022,Rodney,142082.00
2022,Waitakere,138891.67
2023,AucklandCity,164367.00
2023,Franklin,156812.00
2023,Manukau,156938.01
2023,NorthShore,160895.44
2023,Papakura,144692.00
2023,Rodney,149087.00
2023,Waitakere,148636.27
