Year,Manurewa_income,Howick_income,MangereOtahuhu_income,OtaraPapatoetoe_income,Howick_pop,MangereOtahuhu_pop,OtaraPapatoetoe_pop,Manurewa_pop,Manukau,Manukau_income_weighted
2006,74887.0,82073.0,72506.0,71876.0,119100.0,72500.0,76600.0,81600.0,349800.0,76180.84648370497
2007,78887.0,87099.0,77130.0,75355.0,122400.0,72700.0,76800.0,82400.0,354300.0,80597.8588766582
2008,85183.0,94186.0,83720.0,80446.0,124900.0,72900.0,77200.0,83200.0,358200.0,87003.56281407035
2009,83907.0,94482.0,82952.0,79079.0,126900.0,73200.0,77900.0,83900.0,361900.0,86382.71235147832
2010,83987.0,94400.0,82409.0,79705.0,129000.0,73600.0,78500.0,84900.0,366000.0,86421.42404371584
2011,88583.0,98836.0,86785.0,83773.0,131100.0,74100.0,79300.0,86000.0,370500.0,90821.87584345479
2012,90189.0,102252.0,88369.0,85769.0,133700.0,74500.0,79800.0,86600.0,374600.0,93190.91430859583
2013,89873.0,102238.0,88523.0,85739.0,135000.0,75300.0,80300.0,87000.0,377600.0,93145.40413135593
2014,94759.0,107750.0,94293.0,90626.0,137800.0,76700.0,81900.0,88900.0,385300.0,98433.86348300026
2015,98783.0,112050.0,98920.0,94478.0,141500.0,78100.0,84200.0,91500.0,395300.0,102642.09233493549
2016,105267.0,119475.0,105708.0,100959.0,144900.0,79800.0,86300.0,95100.0,406100.0,109507.70573750307
2017,109159.0,121698.0,109642.0,105716.0,147800.0,81500.0,88400.0,98000.0,415700.0,112979.70603800818
2018,113779.0,125222.0,115535.0,112491.0,149400.0,82700.0,90500.0,100900.0,423500.0,117883.46611570248
2019,120073.0,131401.0,121302.0,119502.0,152300.0,83100.0,91000.0,101900.0,428300.0,124218.2797104833
2020,127207.0,139258.0,129280.0,127683.0,156200.0,83500.0,91600.0,103400.0,434700.0,132035.76305498046
2021,131100.0,145494.0,133356.0,132106.0,156300.0,82400.0,90200.0,102500.0,431400.0,136956.32313398237
2022,140110.0,156798.0,144451.0,144686.0,156500.0,81300.0,89500.0,101600.0,428900.0,147976.97901608766
2023,148857.0,163840.0,154808.0,155795.0,165100.0,83200.0,93900.0,105800.0,448000.0,156938.01495535715
2024,,,,,170300.0,85300.0,97400.0,109100.0,462100.0,
2025,,,,,173200.0,85900.0,98900.0,110400.0,468400.0,
