Year,Hibiscus_and_Bays_income,Kaipatiki_income,DevonportTakapuna_income,UpperHarbour_income,Hibiscus_and_Bays_pop,UpperHarbour_pop,Kaipatiki_pop,DevonportTakapuna_pop,NorthShore,NorthShore_income_weighted
2006,79132.0,78566.0,86987.0,81300.0,85200.0,45100.0,83600.0,55700.0,269600.0,80942.02485163204
2007,83919.0,83852.0,91821.0,87250.0,86400.0,47200.0,83900.0,56100.0,273600.0,86093.35709064327
2008,90648.0,90542.0,98236.0,94986.0,87300.0,48900.0,84300.0,56200.0,276700.0,92923.5258402602
2009,88986.0,89628.0,97962.0,95502.0,88300.0,50100.0,84800.0,56500.0,279700.0,92160.96317483018
2010,88599.0,89633.0,98381.0,95182.0,89300.0,51400.0,85600.0,57000.0,283300.0,92073.94034592305
2011,93056.0,93188.0,103639.0,100272.0,90600.0,53100.0,86500.0,57500.0,287700.0,96542.65311087939
2012,97692.0,95423.0,107909.0,103741.0,91800.0,54900.0,87300.0,57900.0,291900.0,100177.68242548818
2013,98770.0,96318.0,108476.0,105675.0,94000.0,56800.0,87000.0,58500.0,296300.0,101290.01687478907
2014,104217.0,101907.0,114157.0,109652.0,96400.0,58200.0,88000.0,58800.0,301400.0,106531.2302587923
2015,107817.0,106271.0,119325.0,112403.0,99000.0,60600.0,89100.0,59300.0,308000.0,110487.73831168831
2016,114554.0,112713.0,126401.0,118987.0,102100.0,62900.0,90400.0,59700.0,315100.0,117155.31767692795
2017,117150.0,115639.0,128154.0,120192.0,105600.0,64900.0,91900.0,60100.0,322500.0,119382.26449612403
2018,121021.0,120002.0,131455.0,123209.0,108500.0,66800.0,92900.0,60500.0,328700.0,123098.12290842713
2019,125626.0,126747.0,136854.0,129000.0,111400.0,70500.0,93100.0,60600.0,335600.0,128673.22556615018
2020,132020.0,134741.0,143137.0,137672.0,114900.0,74500.0,93100.0,61200.0,343700.0,135961.69188245563
2021,137483.0,139271.0,149307.0,144839.0,115600.0,76000.0,91300.0,60400.0,343300.0,141667.29944654822
2022,146220.0,152703.0,159006.0,156383.0,115700.0,77300.0,89600.0,59300.0,341900.0,152434.35068733548
2023,153838.0,163417.0,166330.0,164256.0,118600.0,81600.0,92800.0,60500.0,353500.0,160895.44271570013
2024,,,,,120400.0,83700.0,94600.0,61200.0,359900.0,
2025,,,,,121100.0,84500.0,95600.0,61100.0,362300.0,
