Month,District,Median_Price,sales_count,sales_count_lag1,sales_count_lag3,sales_count_lag6,sales_count_lag9,sales_count_lag12,OCR,OCR_lag1,OCR_lag3,OCR_lag6,OCR_lag9,OCR_lag12,CGPI_Dwelling,CGPI_Dwelling_lag1,CGPI_Dwelling_lag3,CGPI_Dwelling_lag6,CGPI_Dwelling_lag9,CGPI_Dwelling_lag12,Consents,Consents_lag1,Consents_lag3,Consents_lag6,Consents_lag9,Consents_lag12,Net_migration_monthly,weeklyrent,unemployment_rate,unemployment_rate_lag1,unemployment_rate_lag3,unemployment_rate_lag6,unemployment_rate_lag9,unemployment_rate_lag12,RealMortgageRate,RealMortgageRate_lag1,RealMortgageRate_lag3,RealMortgageRate_lag6,RealMortgageRate_lag9,RealMortgageRate_lag12
2018-08,AucklandCity,935000,592,,,,,,1.75,,,,,,741.63,,,,,,293.0,,,,,,866.67,536.5,4.17,,,,,,3.103,,,,,
2018-08,Franklin,669000,74,,,,,,1.75,,,,,,741.63,,,,,,54.0,,,,,,116.67,485.0,4.17,,,,,,3.103,,,,,
2018-08,Papakura,676000,79,,,,,,1.75,,,,,,741.63,,,,,,97.0,,,,,,125.0,479.0,4.17,,,,,,3.103,,,,,
2018-08,NorthShore,920000,299,,,,,,1.75,,,,,,741.63,,,,,,443.0,,,,,,558.33,555.5,4.17,,,,,,3.103,,,,,
2018-08,Waitakere,780000,257,,,,,,1.75,,,,,,741.63,,,,,,59.0,,,,,,66.67,493.0,4.17,,,,,,3.103,,,,,
2018-08,Manukau,860000,391,,,,,,1.75,,,,,,741.63,,,,,,261.0,,,,,,225.0,474.5,4.17,,,,,,3.103,,,,,
2018-08,Rodney,895000,145,,,,,,1.75,,,,,,741.63,,,,,,87.0,,,,,,166.67,510.0,4.17,,,,,,3.103,,,,,
2018-09,Papakura,670000,81,79.0,,,,,1.75,1.75,,,,,744.04,741.63,,,,,104.0,97.0,,,,,125.0,479.0,4.1,4.17,,,,,3.0367,3.103,,,,
2018-09,NorthShore,995000,301,299.0,,,,,1.75,1.75,,,,,744.04,741.63,,,,,245.0,443.0,,,,,558.33,555.5,4.1,4.17,,,,,3.0367,3.103,,,,
2018-09,Waitakere,715000,274,257.0,,,,,1.75,1.75,,,,,744.04,741.63,,,,,41.0,59.0,,,,,66.67,493.0,4.1,4.17,,,,,3.0367,3.103,,,,
2018-09,Manukau,865000,345,391.0,,,,,1.75,1.75,,,,,744.04,741.63,,,,,112.0,261.0,,,,,225.0,474.5,4.1,4.17,,,,,3.0367,3.103,,,,
2018-09,Rodney,857500,131,145.0,,,,,1.75,1.75,,,,,744.04,741.63,,,,,67.0,87.0,,,,,166.67,510.0,4.1,4.17,,,,,3.0367,3.103,,,,
2018-09,Franklin,681000,80,74.0,,,,,1.75,1.75,,,,,744.04,741.63,,,,,43.0,54.0,,,,,116.67,485.0,4.1,4.17,,,,,3.0367,3.103,,,,
2018-09,AucklandCity,950000,503,592.0,,,,,1.75,1.75,,,,,744.04,741.63,,,,,237.0,293.0,,,,,866.67,536.5,4.1,4.17,,,,,3.0367,3.103,,,,
2018-10,NorthShore,997000,328,301.0,,,,,1.75,1.75,,,,,746.44,744.04,,,,,242.0,245.0,,,,,558.33,555.5,4.13,4.1,,,,,3.0313,3.0367,,,,
2018-10,Rodney,870000,159,131.0,,,,,1.75,1.75,,,,,746.44,744.04,,,,,86.0,67.0,,,,,166.67,510.0,4.13,4.1,,,,,3.0313,3.0367,,,,
2018-10,AucklandCity,957000,663,503.0,,,,,1.75,1.75,,,,,746.44,744.04,,,,,222.0,237.0,,,,,866.67,536.5,4.13,4.1,,,,,3.0313,3.0367,,,,
2018-10,Papakura,675000,86,81.0,,,,,1.75,1.75,,,,,746.44,744.04,,,,,110.0,104.0,,,,,125.0,479.0,4.13,4.1,,,,,3.0313,3.0367,,,,
2018-10,Waitakere,825000,314,274.0,,,,,1.75,1.75,,,,,746.44,744.04,,,,,156.0,41.0,,,,,66.67,493.0,4.13,4.1,,,,,3.0313,3.0367,,,,
2018-10,Manukau,830000,400,345.0,,,,,1.75,1.75,,,,,746.44,744.04,,,,,187.0,112.0,,,,,225.0,474.5,4.13,4.1,,,,,3.0313,3.0367,,,,
