,Median_Price,sales_count,sales_count_lag1,sales_count_lag3,sales_count_lag6,sales_count_lag9,sales_count_lag12,OCR,OCR_lag1,OCR_lag3,OCR_lag6,OCR_lag9,OCR_lag12,CGPI_Dwelling,CGPI_Dwelling_lag1,CGPI_Dwelling_lag3,CGPI_Dwelling_lag6,CGPI_Dwelling_lag9,CGPI_Dwelling_lag12,Consents,Consents_lag1,Consents_lag3,Consents_lag6,Consents_lag9,Consents_lag12,Net_migration_monthly,weeklyrent,unemployment_rate,unemployment_rate_lag1,unemployment_rate_lag3,unemployment_rate_lag6,unemployment_rate_lag9,unemployment_rate_lag12,RealMortgageRate,RealMortgageRate_lag1,RealMortgageRate_lag3,RealMortgageRate_lag6,RealMortgageRate_lag9,RealMortgageRate_lag12
Median_Price,1.0,0.49046131837571744,0.4928994472040385,0.5093663830226937,0.5409044088094312,0.5408433216489023,0.5699122978471207,0.015132025114056155,-0.01813889822785546,-0.07737367156778395,-0.15457561095094868,-0.2286800520910386,-0.282887260823592,0.3860937260041288,0.3621210037163801,0.3131314409607615,0.2334473301521911,0.1518475120900946,0.07350364532923885,0.501744895469035,0.49212454768127406,0.4993164701590637,0.4824976883853013,0.4507659721283003,0.43740565519045205,-0.21494151858301982,0.660714076343416,-0.11346187531694774,-0.06088250064459387,0.049319955702241736,0.18851861684357518,0.2641536891825667,0.2783848892867164,-0.5689444798816409,-0.562615569504182,-0.5274114682602175,-0.4180590135145744,-0.2735667031946271,-0.12910578611922977
sales_count,0.49046131837571744,1.0,0.8601946092182837,0.8165839850814041,0.7261919002164577,0.6685628799329777,0.7033175110959835,-0.1934789948065475,-0.18956838255951422,-0.19545353588106548,-0.17001010617468224,-0.1252653262103718,-0.07412635323672763,-0.10662645633198779,-0.11641434506266407,-0.1323538708937234,-0.16959272209278622,-0.17813986570377904,-0.18050710751449525,0.710226801158928,0.6456224896389571,0.6466586645565933,0.5894401129564524,0.5307774143470513,0.5519278158964962,-0.1780574946719626,0.03598121073507577,0.27357773379905453,0.2690056403381873,0.2549099760350081,0.2226081147172947,0.15178911506561252,0.07942034765105595,-0.04369448875016458,-0.011337158552829725,0.062491420051993485,0.15083977660664893,0.18050205982519327,0.21187020067520723
sales_count_lag1,0.4928994472040385,0.8601946092182837,1.0,0.7766005490606669,0.7558027042136718,0.7644481911656906,0.6895917214016343,-0.1948691769108173,-0.19032917259549748,-0.19596496667982144,-0.17647925712195026,-0.13131778334937072,-0.09118174154578305,-0.09586898611643041,-0.10115089828490184,-0.12185211625148783,-0.153606441414779,-0.17089901748285907,-0.1740902952438732,0.6716207428535272,0.7091405760454458,0.6354911636645767,0.5834848455998514,0.5504009860418979,0.5283546032709652,-0.22092707820339447,0.04546488949874606,0.2722792210860203,0.27271419136987574,0.2602610066511795,0.23558211206439988,0.1662026926910564,0.10111007488512937,-0.06409692816386052,-0.03841818330322126,0.03174722470093679,0.13270086015229632,0.1682424037416149,0.20619711876566924
sales_count_lag3,0.5093663830226937,0.8165839850814041,0.7766005490606669,1.0,0.8129084859348239,0.7203531914111274,0.6673111607782917,-0.20740305831650915,-0.20535021626769134,-0.2028706725512537,-0.21024078456092982,-0.18571591679009014,-0.12973239278134618,-0.08353989204705775,-0.09177122428343586,-0.10414790151160142,-0.13184115949892972,-0.17123946148963762,-0.18160269011724367,0.6805404151125768,0.6487853073524634,0.7067335109955284,0.6409941035502542,0.5809917061331148,0.5282391096459925,-0.3138808168066972,0.07321247742261869,0.24204725367160165,0.26386569910203034,0.27648568503913273,0.2582418495611361,0.2245538268042654,0.14895289086144795,-0.1371741897516476,-0.10075378733288097,-0.03799483310737993,0.06897408798870484,0.15470955100379366,0.1822105684197651
sales_count_lag6,0.5409044088094312,0.7261919002164577,0.7558027042136718,0.8129084859348239,1.0,0.8082266603164154,0.7172966843109388,-0.20132636061810483,-0.2108049068641311,-0.2233665202569723,-0.22583414044642997,-0.24904013903227215,-0.21814572301138688,-0.05022275431242729,-0.0611478044304754,-0.08313892031914796,-0.10601265024868713,-0.136903655122157,-0.18003423824391362,0.6833458739708141,0.6878300871187081,0.6780558000440912,0.7035798105502747,0.6330646222995824,0.5743833758848426,-0.402911551672827,0.08003907918756765,0.15101292243931635,0.1846411722125181,0.24492284228658387,0.28310653333525687,0.26683064365641174,0.23199741183629094,-0.24417895112299773,-0.2071550040931387,-0.1393053943263095,-0.037332415366207704,0.07035722977439374,0.15570666658468846
sales_count_lag9,0.5408433216489023,0.6685628799329777,0.7644481911656906,0.7203531914111274,0.8082266603164154,1.0,0.8055719671471114,-0.1624262116518002,-0.17314161499608832,-0.20038287420691459,-0.23027159874130598,-0.24537473892480022,-0.27899017213383903,-0.0030330750615986083,-0.012096194264321434,-0.034439308914435876,-0.06929955202661901,-0.09382127044729725,-0.12726620730587954,0.7489359358335321,0.7288531266515388,0.6806195133871521,0.6766760722939922,0.6995331551247627,0.6291852981653463,-0.39787416454175656,0.08461872463290879,0.025162524265544165,0.07090627517694574,0.14638346062703017,0.24227873226907434,0.28331082100879584,0.2679074150231741,-0.3128192129101982,-0.29810845186629265,-0.24353013822902086,-0.1368791955834389,-0.03703896824986004,0.06827915751888712
sales_count_lag12,0.5699122978471207,0.7033175110959835,0.6895917214016343,0.6673111607782917,0.7172966843109388,0.8055719671471114,1.0,-0.07525136955749474,-0.09490795638823632,-0.12488434998649135,-0.164566538848575,-0.20138513917831316,-0.2232731623688191,0.06844078494233533,0.06044624866978768,0.04202411770691435,0.011546463433597073,-0.022568166861621754,-0.04614804511986815,0.7732477301058468,0.7217445107682646,0.7489686974317324,0.682578051576747,0.6768169214728725,0.698900451774634,-0.38532103966255715,0.11130643460326306,-0.11941923070283263,-0.08084043281769118,0.00753535571161728,0.12444284082073558,0.22028115586699235,0.26365118671937804,-0.283815235272322,-0.2978201068137856,-0.29628650442855264,-0.23308498570095257,-0.1351365538444298,-0.04457629817192366
OCR,0.015132025114056155,-0.1934789948065475,-0.1948691769108173,-0.20740305831650915,-0.20132636061810483,-0.1624262116518002,-0.07525136955749474,1.0,0.9927897078140989,0.9686443415356035,0.8920076646546244,0.758435895100818,0.5462599787460786,0.7862109835666978,0.8092500900594848,0.8526159031599954,0.9095899358621583,0.9511219927904777,0.970702658425849,-0.061682798849686735,-0.030814162975708218,0.021828500356265778,0.09445769913565344,0.1626675122718667,0.2267493452522119,0.29065738756379156,0.5397397294889067,-0.7383062555619732,-0.7778761590106079,-0.8343348367968337,-0.8677338809136977,-0.8324151836024255,-0.7098947592947743,0.11119032987479184,0.015635797958868075,-0.1829075878038065,-0.45791046350428005,-0.6931915393786958,-0.8634577437483798
OCR_lag1,-0.01813889822785546,-0.18956838255951422,-0.19032917259549748,-0.20535021626769134,-0.2108049068641311,-0.17314161499608832,-0.09490795638823632,0.9927897078140989,1.0,0.9811761836107282,0.9178068128532145,0.7985940498134781,0.5940392151373514,0.7589236483883905,0.7760174842290958,0.8228407678764318,0.8857085465957156,0.9366476191490329,0.966404426715837,-0.07767043417196944,-0.04624717989025056,0.010996031390695287,0.08027425563532013,0.1509845818549214,0.21615398207844827,0.31846530573876225,0.5162182536736104,-0.7036647452318961,-0.7463704708152623,-0.8142801358710436,-0.8626049454563213,-0.849757589009572,-0.7472144650383181,0.17519237190202236,0.07847916811543196,-0.11882981011548611,-0.3945290177797663,-0.6416293443340727,-0.8305432971103855
OCR_lag3,-0.07737367156778395,-0.19545353588106548,-0.19596496667982144,-0.2028706725512537,-0.2233665202569723,-0.20038287420691459,-0.12488434998649135,0.9686443415356035,0.9811761836107282,1.0,0.964040106688939,0.8773818585792876,0.6974979469155589,0.6962651856842654,0.7155009415223929,0.7522042241131951,0.8264240644137262,0.8909501141550769,0.940077655809418,-0.11347538622329294,-0.08867500166213771,-0.028362860956433245,0.04398482692564134,0.1177736217859616,0.19517831139246317,0.37111813063091875,0.4649870908425945,-0.6279940035465629,-0.675280445567368,-0.7571380267810134,-0.8386235296464369,-0.8608142629855302,-0.8103405142719893,0.2997525476294698,0.20701207069975583,0.010052725097841591,-0.26713219802874427,-0.5203875401143382,-0.7454535592748153
