,count,mean,std,min,1%,5%,50%,95%,99%,max
Median_Price,441.0,983610.231292517,195605.775203936,638500.0,650000.0,685000.0,950000.0,1321000.0,1431600.000000001,1550000.0
sales_count,441.0,291.09297052154193,209.0667965692947,20.0,44.4,60.0,250.0,687.0,893.2000000000003,1263.0
sales_count_lag1,434.0,292.14285714285717,209.87321116356003,20.0,44.33,60.0,251.0,687.3499999999999,894.0400000000002,1263.0
sales_count_lag3,420.0,292.4738095238095,211.22152241661425,20.0,44.19,59.95,249.5,688.5499999999995,895.72,1263.0
sales_count_lag6,399.0,293.43358395989975,213.41126214186133,20.0,43.8,59.0,249.0,700.1999999999996,899.3799999999987,1263.0
sales_count_lag9,378.0,296.13492063492066,215.79354584227494,20.0,41.7,59.85,251.0,717.749999999999,913.8700000000013,1263.0
sales_count_lag12,357.0,302.4817927170868,217.73602156949588,20.0,48.0,64.0,257.0,757.5999999999999,928.3599999999999,1263.0
OCR,441.0,1.9642857142857142,1.8531300302706524,0.25,0.25,0.25,1.5,5.5,5.5,5.5
OCR_lag1,434.0,1.907258064516129,1.812249592224843,0.25,0.25,0.25,1.25,5.5,5.5,5.5
OCR_lag3,420.0,1.7875,1.717067819678274,0.25,0.25,0.25,1.0,5.5,5.5,5.5
OCR_lag6,399.0,1.5921052631578947,1.5291782136142047,0.25,0.25,0.25,1.0,5.25,5.5,5.5
OCR_lag9,378.0,1.3796296296296295,1.267998431234489,0.25,0.25,0.25,1.0,4.25,4.75,4.75
OCR_lag12,357.0,1.1911764705882353,1.0287506138575215,0.25,0.25,0.25,1.0,3.5,4.25,4.25
CGPI_Dwelling,441.0,883.6049206349206,117.41969734501942,741.63,741.63,750.21,846.43,1060.33,1069.0,1069.0
CGPI_Dwelling_lag1,434.0,880.6146774193548,115.95541031991226,741.63,741.63,750.21,840.845,1057.67,1066.0,1066.0
CGPI_Dwelling_lag3,420.0,874.4851666666667,112.81561312975823,741.63,741.63,750.0215000000001,829.655,1052.4634999999998,1060.33,1060.33
CGPI_Dwelling_lag6,399.0,864.8440350877194,107.40092041757127,741.63,741.63,746.44,812.83,1047.0,1052.33,1052.33
CGPI_Dwelling_lag9,378.0,854.5761111111111,100.840152267039,741.63,741.63,746.44,800.275,1034.0,1042.67,1042.67
CGPI_Dwelling_lag12,357.0,843.7668627450981,93.05274600163389,741.63,741.63,746.44,796.23,1020.0,1029.33,1029.33
Consents,441.0,207.281179138322,138.66400802747205,32.0,39.8,58.0,164.0,468.0,560.4000000000004,867.0
Consents_lag1,434.0,208.5184331797235,139.0144488189963,32.0,39.66,58.0,165.0,468.69999999999993,561.7300000000002,867.0
Consents_lag3,420.0,209.92142857142858,140.0227598883022,32.0,41.19,58.0,165.0,470.2499999999998,564.3900000000001,867.0
Consents_lag6,399.0,211.21303258145363,140.8302275633829,36.0,42.98,58.900000000000006,165.0,470.49999999999983,568.7399999999993,867.0
Consents_lag9,378.0,212.005291005291,142.0799452676646,36.0,44.54,59.0,162.0,476.1999999999998,576.5100000000007,867.0
Consents_lag12,357.0,212.8403361344538,143.12287385359272,36.0,44.12,59.0,162.0,476.5999999999999,584.28,867.0
Net_migration_monthly,441.0,123.470566893424,406.76439110306916,-1308.33,-1308.33,-949.17,135.0,790.83,983.33,983.33
weeklyrent,441.0,561.0792743764173,45.09695058648141,474.5,479.0,485.0,567.5,635.0,651.75,651.75
unemployment_rate,441.0,4.071428571428571,0.531214303613557,3.3,3.3,3.3,4.2,5.0,5.1,5.1
unemployment_rate_lag1,434.0,4.075806451612903,0.5343597488634354,3.3,3.3,3.3,4.2,5.0,5.1,5.1
unemployment_rate_lag3,420.0,4.088333333333333,0.5386787365630271,3.3,3.3,3.3,4.2,5.001499999999998,5.1,5.1
unemployment_rate_lag6,399.0,4.11578947368421,0.5388204274660969,3.3,3.3,3.3,4.2,5.03,5.1,5.1
unemployment_rate_lag9,378.0,4.151851851851852,0.5307341986955396,3.3,3.3,3.3,4.2,5.03,5.1,5.1
unemployment_rate_lag12,357.0,4.194117647058824,0.5157525511187117,3.3,3.3,3.3,4.23,5.03,5.1,5.1
RealMortgageRate,441.0,1.1230952380952384,1.877774424261096,-2.3034,-2.3034,-1.8738,1.9691,3.3083,3.4463,3.4463
RealMortgageRate_lag1,434.0,1.0878500000000002,1.8720573345877614,-2.3034,-2.3034,-1.8738,1.9375,3.2052,3.4463,3.4463
RealMortgageRate_lag3,420.0,1.0225766666666667,1.8678763798072522,-2.3034,-2.3034,-1.8870549999999993,1.7883499999999999,3.2104949999999954,3.4463,3.4463
RealMortgageRate_lag6,399.0,0.9659964912280701,1.8980453684756002,-2.3034,-2.3034,-2.1389,1.3759,3.3111,3.4463,3.4463
RealMortgageRate_lag9,378.0,0.9527037037037037,1.9490612896082504,-2.3034,-2.3034,-2.1389,1.9375,3.3111,3.4463,3.4463
RealMortgageRate_lag12,357.0,0.9739333333333334,2.003350478610723,-2.3034,-2.3034,-2.1389,2.0167,3.3111,3.4463,3.4463
