feature,pretty_name
f_0,District
f_1,OCR
f_2,CGPI_Dwelling
f_3,Net_migration_monthly
f_4,weeklyrent
f_5,unemployment_rate
f_6,RealMortgageRate
f_7,log_sales_count
f_8,log_Consents
f_9,log_sales_count_lag1
f_10,log_sales_count_lag3
f_11,log_sales_count_lag6
f_12,log_sales_count_lag9
f_13,log_sales_count_lag12
f_14,OCR_lag1
f_15,OCR_lag3
f_16,OCR_lag6
f_17,OCR_lag9
f_18,OCR_lag12
f_19,CGPI_Dwelling_lag1
f_20,CGPI_Dwelling_lag3
f_21,CGPI_Dwelling_lag6
f_22,CGPI_Dwelling_lag9
f_23,CGPI_Dwelling_lag12
f_24,log_Consents_lag1
f_25,log_Consents_lag3
f_26,log_Consents_lag6
f_27,log_Consents_lag9
f_28,log_Consents_lag12
f_29,unemployment_rate_lag1
f_30,unemployment_rate_lag3
f_31,unemployment_rate_lag6
f_32,unemployment_rate_lag9
f_33,unemployment_rate_lag12
f_34,RealMortgageRate_lag1
f_35,RealMortgageRate_lag3
f_36,RealMortgageRate_lag6
f_37,RealMortgageRate_lag9
f_38,RealMortgageRate_lag12
