Month,District,Scenario,feature,shap_value
2025-07-01,AucklandCity,base,f_0,0.011948439527127172
2025-07-01,Franklin,base,f_0,-0.0036140016549215496
2025-07-01,Manukau,base,f_0,-0.0040599100850437705
2025-07-01,NorthShore,base,f_0,-0.0022081498178406667
2025-07-01,Papakura,base,f_0,-0.0036175869364170952
2025-07-01,Rodney,base,f_0,-0.0034467590408445124
2025-07-01,Waitakere,base,f_0,-0.0036757341012668096
2025-08-01,AucklandCity,base,f_0,0.011137972676916994
2025-08-01,Franklin,base,f_0,-0.003034786292853518
2025-08-01,Manukau,base,f_0,-0.00406784509238947
2025-08-01,NorthShore,base,f_0,-0.002080347163326173
2025-08-01,Papakura,base,f_0,-0.0031323067574741226
2025-08-01,Rodney,base,f_0,-0.0030185799712352723
2025-08-01,Waitakere,base,f_0,-0.003429462451533683
2025-09-01,AucklandCity,base,f_0,0.01106178791356309
2025-09-01,Franklin,base,f_0,-0.0030268063597577864
2025-09-01,Manukau,base,f_0,-0.004094576796550796
2025-09-01,NorthShore,base,f_0,-0.0020881125441656765
2025-09-01,Papakura,base,f_0,-0.0030971582750943427
2025-09-01,Rodney,base,f_0,-0.0030184639765207634
2025-09-01,Waitakere,base,f_0,-0.003468532635136085
2025-10-01,AucklandCity,base,f_0,0.01082357485204709
2025-10-01,Franklin,base,f_0,-0.002368396623465242
2025-10-01,Manukau,base,f_0,-0.004172710800358562
2025-10-01,NorthShore,base,f_0,-0.0017861172143674633
2025-10-01,Papakura,base,f_0,-0.0024524664179890196
2025-10-01,Rodney,base,f_0,-0.002504154464950964
2025-10-01,Waitakere,base,f_0,-0.0031822843391937417
2025-11-01,AucklandCity,base,f_0,0.010816066198646444
2025-11-01,Franklin,base,f_0,-0.0023705305922313456
2025-11-01,Manukau,base,f_0,-0.004246326965698066
2025-11-01,NorthShore,base,f_0,-0.0019121818098450823
2025-11-01,Papakura,base,f_0,-0.0024444847796425886
2025-11-01,Rodney,base,f_0,-0.0025122287411492496
2025-11-01,Waitakere,base,f_0,-0.0031690337719385473
2025-12-01,AucklandCity,base,f_0,0.01072000629273287
2025-12-01,Franklin,base,f_0,-0.002380784205763005
2025-12-01,Manukau,base,f_0,-0.004179422439670384
2025-12-01,NorthShore,base,f_0,-0.0018580069432340405
2025-12-01,Papakura,base,f_0,-0.0024535530549940837
2025-12-01,Rodney,base,f_0,-0.0025368315264387912
2025-12-01,Waitakere,base,f_0,-0.003159411698431993
2026-01-01,AucklandCity,base,f_0,0.010733023572360131
2026-01-01,Franklin,base,f_0,-0.001971210614833462
2026-01-01,Manukau,base,f_0,-0.004196391701331008
2026-01-01,NorthShore,base,f_0,-0.0017331160423158145
