feature,mean_abs_shap
num__RealMortgageRate,0.017607397598734267
cat__District_NorthShore,0.013511488988098053
num__log_sales_count,0.013447942983710211
num__log_sales_count_lag1,0.012790861023721773
cat__District_Waitakere,0.011207511730362493
num__log_sales_count_lag3,0.010807996601068324
num__RealMortgageRate_lag1,0.010742181082410816
num__log_sales_count_lag6,0.009918815542289105
num__log_sales_count_lag9,0.008795187231482562
num__log_sales_count_lag12,0.007699789640225911
cat__District_Rodney,0.005889468280315226
num__OCR_lag9,0.005215332566513041
num__Net_migration_monthly,0.004602674953341666
cat__District_Manukau,0.004555587646583296
num__OCR_lag12,0.004309636662248899
num__RealMortgageRate_lag3,0.004287373495592166
num__OCR_lag6,0.004096343428351789
cat__District_AucklandCity,0.0038398939705051468
num__CGPI_Dwelling_lag12,0.0036320483312790334
cat__District_Papakura,0.0035143030583642937
num__unemployment_rate_lag9,0.0030705399558017907
num__unemployment_rate_lag6,0.0030602337615058548
num__RealMortgageRate_lag12,0.0026559955896350317
num__log_Consents,0.002463642928467281
num__CGPI_Dwelling_lag9,0.0022445878967580195
num__weeklyrent,0.002056323754333348
num__log_Consents_lag3,0.002013751546180163
num__log_Consents_lag1,0.0019923587055334334
num__unemployment_rate_lag12,0.0019142215455654698
num__CGPI_Dwelling_lag6,0.0018677070131001676
num__RealMortgageRate_lag6,0.0015795093131198011
num__CGPI_Dwelling_lag3,0.0015289709063545187
num__log_Consents_lag6,0.001407033903188493
num__CGPI_Dwelling_lag1,0.0013036862793761124
num__RealMortgageRate_lag9,0.0012809785007826058
num__CGPI_Dwelling,0.0012708929031372477
num__OCR_lag3,0.0012515766289611864
cat__District_Franklin,0.0006083784279311963
num__log_Consents_lag9,0.0006069890817951835
num__OCR,0.0005671127457979796
num__unemployment_rate,0.0005645245870790535
num__OCR_lag1,0.0005236515122224377
num__log_Consents_lag12,0.0004156878860070677
num__unemployment_rate_lag3,0.00039278403764661345
num__unemployment_rate_lag1,0.0003550819353789633
