feature,mean_abs_shap
num__weeklyrent,0.03411469817857739
num__RealMortgageRate,0.01702752235917327
num__log_sales_count,0.014573816008602051
num__log_sales_count_lag1,0.014151544037910902
cat__District_NorthShore,0.012991122875803594
num__log_sales_count_lag3,0.011785525003788518
cat__District_Waitakere,0.011612606321449793
num__log_sales_count_lag6,0.01076576497203451
num__RealMortgageRate_lag1,0.01007715777898546
num__log_sales_count_lag9,0.010023902292164483
num__log_sales_count_lag12,0.009460140563702433
cat__District_Rodney,0.005191123871242626
num__OCR_lag9,0.004979509228594389
cat__District_Manukau,0.00481674063483412
num__RealMortgageRate_lag3,0.004350093874916297
num__OCR_lag12,0.004226831600306305
num__Net_migration_monthly,0.003918506812253018
num__CGPI_Dwelling_lag12,0.0038887077399614874
num__OCR_lag6,0.003841771197684977
cat__District_Papakura,0.0036582653920349322
cat__District_AucklandCity,0.0030439419322441106
num__unemployment_rate_lag9,0.0028052922901724586
num__RealMortgageRate_lag12,0.002660968886371834
num__CGPI_Dwelling_lag9,0.002615588872016903
num__log_Consents,0.0025764809977742173
num__unemployment_rate_lag6,0.002522400280626033
num__log_Consents_lag3,0.0022859965429341414
num__log_Consents_lag1,0.002082832120191105
num__CGPI_Dwelling_lag6,0.0020016297846853974
num__unemployment_rate_lag12,0.0018384014334029647
num__RealMortgageRate_lag6,0.0017442988953197214
num__CGPI_Dwelling_lag3,0.0016477237399358173
num__RealMortgageRate_lag9,0.0015128662413977177
num__CGPI_Dwelling_lag1,0.0014143831823647647
num__log_Consents_lag6,0.0013717509817060762
num__CGPI_Dwelling,0.001259407308203922
num__OCR_lag3,0.0010923734784145424
cat__District_Franklin,0.0006513842038314362
num__OCR_lag1,0.0006395042890369474
num__log_Consents_lag9,0.0006128907269167002
num__unemployment_rate,0.0005535681934748544
num__OCR,0.0005369801119128602
num__log_Consents_lag12,0.0005224275099699364
num__unemployment_rate_lag1,0.0004577855549357303
num__unemployment_rate_lag3,0.00030045297893387774
