feature,mean_abs_shap
num__weeklyrent,0.020059479647852544
num__RealMortgageRate,0.018111806114197448
cat__District_NorthShore,0.013476495124154518
num__log_sales_count,0.013348004331432623
num__log_sales_count_lag1,0.013041172414525869
num__RealMortgageRate_lag1,0.011361003337418725
num__log_sales_count_lag3,0.01059114256113242
cat__District_Waitakere,0.01025570344903799
num__log_sales_count_lag6,0.009866062937009678
num__log_sales_count_lag9,0.008675154926291095
num__log_sales_count_lag12,0.007640736280881329
cat__District_Rodney,0.005656087606004325
num__OCR_lag9,0.005131910585440882
num__OCR_lag12,0.0044613397170244614
num__RealMortgageRate_lag3,0.0041665163613694425
cat__District_Manukau,0.0041463467028482765
num__Net_migration_monthly,0.0038236102926852613
num__CGPI_Dwelling_lag12,0.003778439555165277
cat__District_AucklandCity,0.0037760266401059986
num__OCR_lag6,0.0036711138373573516
cat__District_Papakura,0.0033865809196073284
num__unemployment_rate_lag6,0.0032079391569843365
num__unemployment_rate_lag9,0.003178767371012234
num__RealMortgageRate_lag12,0.0027890105794144324
num__CGPI_Dwelling_lag9,0.00267559530026376
num__log_Consents,0.0025405179017518455
num__log_Consents_lag1,0.002268287105715289
num__CGPI_Dwelling_lag3,0.002227935079446288
num__CGPI_Dwelling,0.0021123765873881603
num__CGPI_Dwelling_lag1,0.0020917607754301543
num__CGPI_Dwelling_lag6,0.0020252742505778693
num__log_Consents_lag3,0.001979645950678994
num__unemployment_rate_lag12,0.0019084811047379328
num__RealMortgageRate_lag6,0.001769087935655966
num__log_Consents_lag6,0.0016801056007093782
num__RealMortgageRate_lag9,0.001367215756300119
num__OCR_lag3,0.001144967908750776
num__log_Consents_lag9,0.0006412771758678689
cat__District_Franklin,0.0005894476220461947
num__unemployment_rate,0.0005155097735689778
num__OCR,0.0004824953189004943
num__log_Consents_lag12,0.0004698835331336032
num__unemployment_rate_lag3,0.0004485613826299991
num__OCR_lag1,0.00043068650798094887
num__unemployment_rate_lag1,0.000267368665184719
